doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.13140/2.1.4738.5929,2005,Other,Short Sea Shipping Probability Study,Blekinge Institute of Technology,2015-01-28T19:43:27Z,2025-10-06T13:35:48Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,5,,repository
10.18151/7217436,2015,article,An Analysis of Change Scenarios of an IT Organization for Flexibility Building,"University of Münster, Münster, Germany",2015-07-23T09:23:42Z,2020-08-19T20:28:48Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,tib.astone,"Institut für Wirtschaftsinformatik, Westfälische Wilhelms-Universität Münster",0,0,0,0,,,,,,,,12,,repository
10.13140/rg.2.1.2680.3927,2015,Text,Developing Inclusive Innovation Processes and Co-evolutionary Approaches in Bolivia,Blekinge Institute of Technology,2015-10-06T18:04:14Z,2025-10-08T11:17:23Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,9,,repository
10.14279/tuj.eceasst.52.759,2012,JournalArticle,Teaching Modeling - An Initial Classification of Related Issues,Electronic Communications of the EASST,2015-11-03T13:09:24Z,2024-04-05T14:36:47Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,tib.tub,Technische Universität Berlin – Universitätsbibliothek,0,0,0,0,,,,,,,,9,,repository
10.14279/tuj.eceasst.52.759.756,2012,JournalArticle,Teaching Modeling - An Initial Classification of Related Issues,Electronic Communications of the EASST,2015-11-04T08:32:52Z,2024-04-05T14:51:18Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,tib.tub,Technische Universität Berlin – Universitätsbibliothek,0,0,0,0,,,,,,,,9,,repository
10.5281/zenodo.50863,2016,Text,Recode: Policy Recommendations For Open Access To Research Data,Zenodo,2016-05-03T17:56:59Z,2020-07-27T17:47:52Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,8,0,,,,,,,,9,,repository
10.5281/zenodo.153825,2016,Software,SocialCrawler 2.9,Zenodo,2016-09-12T11:04:33Z,2023-04-25T18:08:33Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,1,0,0,0,,,,,,,,2,,repository
10.5281/zenodo.163861,2016,Software,SocialCrawler,Zenodo,2016-10-30T20:09:57Z,2023-04-25T18:05:06Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,1,0,3,0,,,,,,,,1,,repository
10.5281/zenodo.242385,2017,Dataset,Privacy Policies From Legitimate And Rogue Web Sites,Zenodo,2017-01-13T14:26:48Z,2020-09-18T18:20:08Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,cern.zenodo,Zenodo,0,0,0,0,OPEN,1,9,,https://openalex.org/W4393819365,1,0,8,,repository
10.13140/rg.2.2.13742.31041,2011,Text,Impact of Packet Losses on the Quality of Video Stream Transmission,Blekinge Institute of Technology Sweden,2017-01-26T14:52:20Z,2025-10-16T12:10:06Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,11,,repository
10.5281/zenodo.593569,2022,Software,Scifabric/pybossa: v4.0.3,Zenodo,2017-05-30T02:43:13Z,2023-04-25T14:46:04Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,2,,repository
10.5281/zenodo.594448,2016,Software,SocialCrawler,Zenodo,2017-05-30T02:45:28Z,2023-04-25T18:05:07Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,1,0,0,,,,,,,,1,,repository
10.7910/dvn/ba57if,2017,Dataset,Replication Data for: Ordering Classifier Chains using filter model feature selection techniques,Harvard Dataverse,2017-07-03T12:30:01Z,2025-06-02T10:23:52Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,,gdcc.harvard-dv,Harvard Dataverse,0,0,55,3,OPEN,,,,https://openalex.org/W4398743039,0,0,12,,repository
10.5281/zenodo.836659,2017,Text,A Systematic Review Of Value Metrics For Pss Design,Zenodo,2017-07-31T09:36:31Z,2020-09-18T21:57:28Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,9,,repository
10.5281/zenodo.836658,2017,Text,A Systematic Review Of Value Metrics For Pss Design,Zenodo,2017-07-31T09:36:32Z,2020-09-18T21:57:28Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,9,,repository
