doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5061/dryad.r76cm3bn,2011,Dataset,Data from: Interpreting the evolutionary regression: the interplay between observational and biological errors in phylogenetic comparative studies,Dryad,2011-10-14T19:50:05Z,2026-01-27T00:38:00Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,267,39,OPEN,6,2,,,,,17,,repository
10.5291/ill-data.6-01-314,2012,Dataset,Dynamics across the liquid-liquid transition in supercooled tellurium,Institut Laue-Langevin (ILL),2013-04-25T11:48:49Z,2026-05-18T17:58:46Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,inist.ill,Institut Laue-Langevin,0,0,0,0,OPEN,,,,,,,8,,repository
10.5291/ill-data.3-01-619,2012,Dataset,Collinear Cluster Tripartition - is it real?,Institut Laue-Langevin (ILL),2013-04-25T11:58:04Z,2021-06-08T08:40:42Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,inist.ill,Institut Laue-Langevin,0,0,0,0,OPEN,,,,,,,7,,repository
10.5281/zenodo.11109,2014,Text,Atmospheric Radiative Transfer Generalised For Use On Earth And Other Planets: Arts 2.2,Zenodo,2014-08-01T20:00:17Z,2020-07-26T16:43:46Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,1,0,,,,,,,,13,,repository
10.5281/zenodo.11206,2014,Text,"Ubiquitous Argonium, Arh⁺, In The Diffuse Interstellar Medium",Zenodo,2014-08-06T15:36:19Z,2020-07-26T16:44:59Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,8,,repository
10.13140/2.1.4646.5282,2013,Text,Effective Tactics of Team Management: A Case Study on Volvo Car Corporation,Chalmers University of Technology,2014-09-19T09:00:04Z,2025-10-02T02:59:29Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,12,,repository
10.5281/zenodo.11784,2013,Text,Efda–Jet–Pr(13)01 Numerical Analysis Of Jet Discharges With The European Transport Simulator,Zenodo,2014-09-19T12:56:27Z,2020-07-26T16:50:12Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,11,,repository
10.13140/2.1.3493.6327,1994,Other,Dynamic analysis of the overhead contact line (in electricity powered railway systems),Chalmers Tekniska Högskola,2014-10-16T12:47:22Z,2025-10-01T22:49:47Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,12,,repository
10.13140/2.1.4542.2082,1994,Other,Theoretucal and Experimental Analysis of Railway Beams,Chalmers Tekniska Högskola,2014-10-16T12:49:27Z,2025-10-01T22:49:45Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,7,,repository
10.5291/ill-data.7-03-124,2013,Dataset,Fundamentals of proton self diffusion in proton conducting perovskite type oxides,Institut Laue-Langevin (ILL),2014-10-24T14:24:12Z,2026-05-18T18:03:30Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,inist.ill,Institut Laue-Langevin,0,0,0,0,OPEN,,,,,,,11,,repository
10.5291/ill-data.7-03-126,2014,Dataset,Local proton dynamics in proton conducting perovskite type oxides,Institut Laue-Langevin (ILL),2014-10-24T14:42:10Z,2026-05-18T18:03:32Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,inist.ill,Institut Laue-Langevin,0,0,0,0,OPEN,,,,,,,9,,repository
10.5291/ill-data.7-03-130,2014,Dataset,Fundamentals of proton self diffusion in proton conducting perovskite type oxides,Institut Laue-Langevin (ILL),2014-10-24T14:42:12Z,2026-05-18T18:03:36Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,inist.ill,Institut Laue-Langevin,0,0,0,0,OPEN,,,,,,,11,,repository
