doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteResourceType,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireResourceType,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexResourceType,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.13140/rg.2.1.3126.4803,2015,Other,"Förståelse, bedömningar och hjälpinsatser: Socialarbetares arbete med män som våldsoffer",Dalarna university,2015-03-30T14:00:41Z,2025-10-06T19:11:29Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Other,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,10,,repository
10.5281/zenodo.247140,2017,Text,Ciencia Abierta 2017,Zenodo,2017-01-16T11:51:33Z,2020-09-18T18:22:02Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,3,,repository
10.5061/dryad.786m4,2017,Dataset,Data from: Insights into the genetic architecture of morphological traits in two passerine bird species,Dryad,2017-05-15T20:12:26Z,2026-01-26T20:17:01Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,471,71,,OPEN,14,1,,,,,,15,,repository
10.7910/dvn/0om2wp,2018,Dataset,"A Structured Review of Semi-Presidential Studies: Debates, Results and Missing Pieces",Harvard Dataverse,2018-05-09T08:22:24Z,2026-04-16T20:50:41Z,0,,1,1,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,gdcc.harvard-dv,Harvard Dataverse,1,0,176,10,,OPEN,,,,,,,,11,,repository
10.5061/dryad.5337hv7,2019,Dataset,Data from: Out of sight of wind turbines – reindeer response to wind farms in operation,Dryad,2018-08-20T15:25:53Z,2026-01-27T13:18:05Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,279,32,,OPEN,1,3,,,,,,16,,repository
10.5281/zenodo.3245983,2019,Text,Perception of tone 1-tone 2 contrast by Swedish learners of Mandarin Chinese,Zenodo,2019-06-14T10:53:34Z,2020-07-29T15:45:22Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,12,,repository
10.5281/zenodo.3245982,2019,Text,Perception of tone 1-tone 2 contrast by Swedish learners of Mandarin Chinese,Zenodo,2019-06-14T10:53:35Z,2020-07-29T15:45:22Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,12,,repository
10.5281/zenodo.3674111,2020,Text,European Journal of Philosphy in Arts Education- Full issue 02 2019 04,Zenodo,2020-02-18T22:32:54Z,2020-07-31T12:55:08Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,12,,repository
10.5281/zenodo.3674110,2020,Text,European Journal of Philosphy in Arts Education- Full issue 02 2019 04,Zenodo,2020-02-18T22:32:55Z,2020-07-31T12:55:09Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,12,,repository
10.5281/zenodo.3674121,2020,Text,The Siljan School : a Swedish example of reform pedagogy with a focus on arts and the history of women,Zenodo,2020-02-18T22:51:59Z,2020-07-31T12:55:56Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,5,0,,,,,,,,,,20,,repository
