doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5281/zenodo.1489888,2018,Text,RehabMove 2018: THE NEED FOR PARA-CYCLING CLASSIFICATION RESEARCH,Zenodo,2018-12-08T14:55:56Z,2020-09-20T09:13:28Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,2,0,0,,,,,,,,8,,repository
10.5281/zenodo.1489887,2018,Text,RehabMove 2018: THE NEED FOR PARA-CYCLING CLASSIFICATION RESEARCH,Zenodo,2018-12-08T14:55:58Z,2020-09-20T09:13:28Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,8,,repository
10.5281/zenodo.2573956,2019,Text,RehabMove 2018: THE NEED FOR PARA-CYCLING CLASSIFICATION RESEARCH,Zenodo,2019-02-20T16:10:10Z,2020-07-29T05:05:25Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,1,0,0,0,,,,,,,,8,,repository
10.5281/zenodo.2573955,2019,Text,RehabMove 2018: THE NEED FOR PARA-CYCLING CLASSIFICATION RESEARCH,Zenodo,2019-02-20T16:10:11Z,2020-07-29T05:05:25Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,1,0,0,0,,,,,,,,8,,repository
10.5281/zenodo.2606998,2019,Text,RehabMove 2018: Handcycling classification: a first look into the current classification system,Zenodo,2019-03-26T09:26:44Z,2020-07-29T06:56:12Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,12,,repository
10.5281/zenodo.2606997,2019,Text,RehabMove 2018: Handcycling classification: a first look into the current classification system,Zenodo,2019-03-26T09:26:46Z,2020-07-29T06:56:12Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,12,,repository
10.6084/m9.figshare.c.5051256,2020,Collection,"Smoking, heavy drinking, physical inactivity, and obesity among middle-aged and older adults in China: cross-sectional findings from the baseline survey of CHARLS 2011–2012",figshare,2020-07-07T05:04:06Z,2024-03-22T10:24:23Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,figshare.ars,figshare Academic Research System,0,1,0,0,OPEN,,,,,,,23,,repository
10.6084/m9.figshare.c.5051256.v1,2020,Collection,"Smoking, heavy drinking, physical inactivity, and obesity among middle-aged and older adults in China: cross-sectional findings from the baseline survey of CHARLS 2011–2012",figshare,2020-07-07T05:04:06Z,2024-03-22T10:24:24Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,figshare.ars,figshare Academic Research System,0,1,0,0,OPEN,,,,,,,23,,repository
10.6084/m9.figshare.12617760,2020,Text,"Additional file 1 of Smoking, heavy drinking, physical inactivity, and obesity among middle-aged and older adults in China: cross-sectional findings from the baseline survey of CHARLS 2011–2012",figshare,2020-07-07T05:10:07Z,2024-02-06T11:58:55Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,29,0,0,,,,,,,,27,10.1186/s12889-020-08625-5,repository
10.6084/m9.figshare.12617760.v1,2020,Text,"Additional file 1 of Smoking, heavy drinking, physical inactivity, and obesity among middle-aged and older adults in China: cross-sectional findings from the baseline survey of CHARLS 2011–2012",figshare,2020-07-07T05:10:12Z,2024-02-06T11:59:02Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,29,0,0,,,,,,,,27,10.1186/s12889-020-08625-5,repository
10.6084/m9.figshare.14759348.v1,2021,Dataset,Additional file 1 of The use of coping strategies “shift-persist” mediates associations between physical activity and mental health problems in adolescents: a cross-sectional study,figshare,2021-06-10T04:36:28Z,2024-02-08T14:33:49Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,figshare.ars,figshare Academic Research System,1,34,0,0,OPEN,,,,,,,24,10.1186/s12889-021-11158-0,repository
10.6084/m9.figshare.14759348,2021,Dataset,Additional file 1 of The use of coping strategies “shift-persist” mediates associations between physical activity and mental health problems in adolescents: a cross-sectional study,figshare,2021-06-10T04:58:34Z,2024-02-08T14:30:46Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,figshare.ars,figshare Academic Research System,1,34,0,0,OPEN,,,,,,,24,10.1186/s12889-021-11158-0,repository
10.6084/m9.figshare.c.5460404.v1,2021,Collection,The use of coping strategies “shift-persist” mediates associations between physical activity and mental health problems in adolescents: a cross-sectional study,figshare,2021-06-10T05:07:19Z,2024-03-22T15:37:47Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,figshare.ars,figshare Academic Research System,0,0,0,0,OPEN,,,,,,,20,,repository
10.6084/m9.figshare.c.5460404,2021,Collection,The use of coping strategies “shift-persist” mediates associations between physical activity and mental health problems in adolescents: a cross-sectional study,figshare,2021-06-10T05:15:15Z,2024-03-22T15:37:46Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,figshare.ars,figshare Academic Research System,0,0,0,0,OPEN,,,,,,,20,,repository
10.6084/m9.figshare.17468978,2021,Text,"Additional file 1 of Cerebral small vessel disease, cardiovascular risk factors, and future walking speed in old age: a population-based cohort study",figshare,2021-12-24T04:17:46Z,2024-02-12T19:36:46Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,1,37,0,0,,,,,,,,22,10.1186/s12883-021-02529-6,repository
10.6084/m9.figshare.17468978.v1,2021,Text,"Additional file 1 of Cerebral small vessel disease, cardiovascular risk factors, and future walking speed in old age: a population-based cohort study",figshare,2021-12-24T04:17:46Z,2024-02-12T19:35:52Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,1,37,0,0,,,,,,,,22,10.1186/s12883-021-02529-6,repository
10.6084/m9.figshare.c.5765552,2021,Collection,"Cerebral small vessel disease, cardiovascular risk factors, and future walking speed in old age: a population-based cohort study",figshare,2021-12-24T04:17:47Z,2024-03-22T18:41:12Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,figshare.ars,figshare Academic Research System,0,0,0,0,OPEN,,,,,,,18,,repository
