doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5061/dryad.68722,2011,Dataset,"Data from: Inferring species networks from gene trees in high-polyploid North American and Hawaiian violets (Viola, Violaceae)",Dryad,2011-08-25T19:59:41Z,2025-12-05T18:37:06Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,330,46,,1,2,,,,,17,,repository
10.5061/dryad.r76cm3bn,2011,Dataset,Data from: Interpreting the evolutionary regression: the interplay between observational and biological errors in phylogenetic comparative studies,Dryad,2011-10-14T19:50:05Z,2025-12-05T21:21:54Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,300,47,,6,2,,,,,17,,repository
10.5061/dryad.1992,2010,Dataset,Data from: Heterozygosity-fitness correlations of conserved microsatellite markers in Kentish plovers Charadrius alexandrinus,Dryad,2011-11-22T18:29:33Z,2025-12-06T02:11:57Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,372,30,,0,4,,,,,13,,repository
10.5061/dryad.8f3bk,2011,Dataset,Data from: Molecular data and ploidal levels indicate several putative allopolyploidization events in the genus Potentilla (Rosaceae),Dryad,2011-11-22T18:35:53Z,2025-12-05T20:29:05Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,300,64,,4,2,,,,,17,,repository
10.5061/dryad.8181,2010,Dataset,Data from: Assessing the complex architecture of polygenic traits in diverged yeast populations,Dryad,2011-11-22T19:09:57Z,2025-12-06T12:17:54Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,280,74,,0,6,,,,,13,,repository
10.1594/pangaea.655125,2007,Dataset,Hydrochemistry measured on water bottle samples during SVANIC cruise Svanic90/2,PANGAEA,2011-12-03T12:09:17Z,2024-07-20T11:59:29Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,pangaea.repository,PANGAEA,0,0,0,0,,,,,,,,10,,repository
10.1594/pangaea.655182,2007,Dataset,Hydrochemistry measured on water bottle samples during Trygve Braarud cruise TB90,PANGAEA,2011-12-03T12:09:18Z,2024-07-20T17:14:07Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,pangaea.repository,PANGAEA,0,0,0,0,,,,,,,,11,,repository
10.1594/pangaea.655714,2007,Dataset,Current meter data from mooring PEX86_M10,PANGAEA,2011-12-03T12:10:11Z,2024-07-20T11:14:13Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,pangaea.repository,PANGAEA,0,0,0,0,,,,,,,,6,,repository
10.1594/pangaea.655719,2007,Dataset,Current meter data from mooring PEX86_M13,PANGAEA,2011-12-03T12:10:12Z,2024-07-21T00:49:21Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,pangaea.repository,PANGAEA,0,0,0,0,,,,,,,,6,,repository
10.1594/pangaea.655724,2007,Dataset,Current meter data from mooring PEX86_M8,PANGAEA,2011-12-03T12:10:14Z,2024-07-20T17:54:52Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,pangaea.repository,PANGAEA,0,0,0,0,,,,,,,,6,,repository
