doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteResourceType,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireResourceType,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexResourceType,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5281/zenodo.8569,2014,Text,The E-Book Phenomenon: A Disruptive Technology,Zenodo,2014-04-02T05:18:37Z,2020-07-26T16:09:34Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,6,,repository
10.18716/ride.a.2.4,2014,JournalArticle,The Fleischmann diaries,"Institut für Dokumentologie und Editorik e.V., s.l.",2016-10-11T22:40:23Z,2024-09-06T10:29:31Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,zbmed.unikoeln,Universitäts- und Stadtbibliothek Köln,0,0,0,0,,,,,,,,,,3,,repository
10.5281/zenodo.344053,2014,Text,A Vector Field Approach To Lexical Semantics,Zenodo,2017-02-28T15:44:41Z,2020-09-18T19:11:32Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,7,,repository
10.5281/zenodo.344786,2015,Text,Monitoring Term Drift Based On Semantic Consistency In An Evolving Vector Field,Zenodo,2017-03-01T09:41:42Z,2020-09-18T19:11:25Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,12,,repository
10.5281/zenodo.344922,2016,Text,A Physical Metaphor To Study Semantic Drift,Zenodo,2017-03-01T16:54:00Z,2020-09-18T19:13:06Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,7,,repository
10.5281/zenodo.345343,2016,Text,Studying The Cohesion Evolution Of Genes Related To Chronic Lymphocytic Leukemia Using Semantic Similarity In Gene Ontology And Self-Organizing Maps,Zenodo,2017-03-03T12:56:41Z,2020-09-18T19:13:42Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,20,,repository
10.5281/zenodo.345383,2017,Text,"An Overview Of Semantic Change: Understanding The Phenomenon, Current Trends And Future Research Roadmap",Zenodo,2017-03-03T16:09:38Z,2024-09-02T00:16:28Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,2,0,,,,,,,,,,14,,repository
10.5281/zenodo.345397,2016,Text,Pericles – Digital Preservation Through Management Of Change In Evolving Ecosystems,Zenodo,2017-03-03T16:47:08Z,2020-09-18T19:12:37Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,11,,repository
10.3205/hta000128,2017,Text,Q-SEA – a tool for quality assessment of ethics analyses conducted as part of health technology assessments,German Medical Science GMS Publishing House,2017-03-15T13:49:52Z,2020-09-18T19:19:26Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,zbmed.gms,German Medical Science,0,0,0,0,,,,,,,,,,17,,repository
10.18716/ride.a.6.2,2017,JournalArticle,Litteraturbanken : the Swedish Literature Bank,"Institut für Dokumentologie und Editorik e.V., s.l.",2017-09-14T12:09:08Z,2024-09-06T10:55:15Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,zbmed.unikoeln,Universitäts- und Stadtbibliothek Köln,0,0,0,0,,,,,,,,,,6,,repository
