doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.4232/1.5101,2014,Dataset,Political Communication Cultures in Western Europe,GESIS Data Archive,2014-10-30T13:04:37Z,2025-12-02T11:12:44Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,gesis.gesis,GESIS Data Catalogue,0,0,0,0,,,,,,,,6,,repository
10.14279/tuj.eceasst.70.982,2014,JournalArticle,Conformance Testing of Cyber-Physical Systems: A Comparative Study,Electronic Communications of the EASST,2015-11-04T08:16:02Z,2024-04-05T14:33:57Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,tib.tub,Technische Universität Berlin – Universitätsbibliothek,0,0,0,0,,,,,,,,8,,repository
10.14279/tuj.eceasst.70.982.961,2014,JournalArticle,Conformance Testing of Cyber-Physical Systems: A Comparative Study,Electronic Communications of the EASST,2015-11-04T08:37:37Z,2024-04-05T14:48:07Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,tib.tub,Technische Universität Berlin – Universitätsbibliothek,0,0,0,0,,,,,,,,8,,repository
10.14279/tuj.eceasst.72.1022,2015,JournalArticle,State Distribution Policy for Distributed Model Checking of Actor Models,Electronic Communications of the EASST,2016-01-06T09:33:42Z,2024-04-05T14:33:28Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,tib.tub,Technische Universität Berlin – Universitätsbibliothek,0,0,0,0,,,,,,,,10,,repository
10.14279/tuj.eceasst.72.1022.1011,2015,JournalArticle,State Distribution Policy for Distributed Model Checking of Actor Models,Electronic Communications of the EASST,2016-01-06T09:33:59Z,2024-04-05T14:47:32Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,tib.tub,Technische Universität Berlin – Universitätsbibliothek,0,0,0,0,,,,,,,,10,,repository
10.5281/zenodo.163441,2016,Text,Man-Made Lakes Form Species-Rich Dragonfly Communities In The Brazilian Atlantic Forest (Odonata),Zenodo,2016-12-05T18:43:48Z,2020-09-18T16:19:30Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,12,,repository
10.5878/k4gh-wt43,2019,Dataset,Data for: An iterative approach to determine the refractive index of 3D printed 60GHz PLA lenses,Halmstad University,2019-04-25T01:30:33Z,2025-09-22T10:22:54Z,1,,1,1,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,1,1,0,0,RESTRICTED,,,,,,,16,"[""10.1049/cp.2018.1480""]",repository
10.5878/s25w-jm75,2019,Dataset,Data for: An iterative approach to determine the refractive index of 3D printed 60GHz PLA lenses,Halmstad University,2019-04-25T01:30:34Z,2025-09-22T08:56:03Z,1,,1,1,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,1,0,0,0,,,,,,,,16,"[""10.1049/cp.2018.1480""]",repository
10.5281/zenodo.3384888,2016,Text,Snacking on Knowledge and Feel Good - Challenging discourses on arts in education,Zenodo,2019-09-03T13:25:04Z,2020-07-29T23:52:23Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,13,,repository
10.5281/zenodo.3384889,2016,Text,Snacking on Knowledge and Feel Good - Challenging discourses on arts in education,Zenodo,2019-09-03T13:25:04Z,2020-07-29T23:52:23Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,13,,repository
