doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteResourceType,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireResourceType,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexResourceType,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5878/000080,1982,Dataset,Functions of the press: Journalists' study 1973,Handelshögskolan i Stockholm,2013-12-17T19:28:38Z,2026-03-23T11:08:30Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,,,,,,,,,7,,repository
10.5878/001027,1982,Dataset,Functions of the press: Journalists' study 1973,Handelshögskolan i Stockholm,2013-12-17T19:46:37Z,2026-03-23T10:40:07Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,,,,,,,,,7,,repository
10.7910/dvn/25293,2014,Dataset,Replication data for: Competition Policy and Productivity Growth: An Empirical Assessment,Harvard Dataverse,2014-04-02T19:01:26Z,2026-04-16T23:10:13Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,gdcc.harvard-dv,Harvard Dataverse,0,0,754,46,,OPEN,,,,,,,,11,,repository
10.13140/rg.2.1.4932.5527,2015,Other,Tradable Permits in Cost–Benefit Analysis,Stockholm School of Economics,2015-11-10T08:15:37Z,2025-10-08T12:10:59Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Other,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,5,,repository
10.5281/zenodo.1036744,2017,Text,"The Dynamics Of Innovation In The Wireless Telecom Industry During Two Eras Of Technological Convergence, 1995-2015",Zenodo,2017-10-25T14:44:53Z,2020-09-19T01:46:13Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,16,,repository
10.5281/zenodo.1036743,2017,Text,"The Dynamics Of Innovation In The Wireless Telecom Industry During Two Eras Of Technological Convergence, 1995-2015",Zenodo,2017-10-25T14:44:54Z,2020-09-19T01:46:13Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,16,,repository
10.5281/zenodo.1145656,2018,Software,ankargren/mfbvar: Paper version,Zenodo,2018-01-11T09:56:56Z,2023-04-25T21:28:04Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Software,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,3,,repository
10.5281/zenodo.1145828,2018,Software,ankargren/mfbvar_replication: Replication files,Zenodo,2018-01-11T14:22:03Z,2023-04-25T15:23:49Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Software,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,3,,repository
10.5281/zenodo.1145827,2018,Software,ankargren/mfbvar_replication: Replication files,Zenodo,2018-01-11T14:22:04Z,2023-04-25T15:23:50Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,Software,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,3,,repository
10.5878/003018,2018,Dataset,Quality of Research Practice: Face validity questionnaire responses,Handelshögskolan i Stockholm,2018-06-14T01:30:29Z,2026-03-23T10:56:26Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,1,1,0,0,,OPEN,,,,,,,,8,"[""10.1016/j.respol.2015.11.009""]",repository
10.5878/003019,2018,Dataset,Quality of Research Practice: Face validity questionnaire responses,Handelshögskolan i Stockholm,2018-06-14T01:30:29Z,2026-03-23T10:27:44Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,1,0,0,0,,OPEN,,,,,,,,8,"[""10.1016/j.respol.2015.11.009""]",repository
10.7910/dvn/sxeiis,2018,Dataset,Replication Data for: Experimental Evidence on the Long-Run Impact of Community-Based Monitoring,Harvard Dataverse,2018-07-04T14:18:55Z,2026-06-10T21:57:06Z,0,,1,1,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,gdcc.harvard-dv,Harvard Dataverse,1,0,157,14,,OPEN,,,,,,,,12,"[""10.1257/app.20150027""]",repository
10.7910/dvn/sxeiis/bxlqg7,2018,Dataset,Community_Based_Monitoring_Replication.zip,Harvard Dataverse,2018-07-04T14:18:55Z,2024-10-22T04:23:58Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,gdcc.harvard-dv,Harvard Dataverse,0,0,0,0,,,,,,,https://openalex.org/W4398936265,0,0,1,,repository
10.7910/dvn/ds1jym,2018,Dataset,"Replication Data for: ""Politico-Economic Regimes and Attitudes: Female Workers under State Socialism""",Harvard Dataverse,2018-07-18T17:32:29Z,2026-04-17T23:54:28Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,gdcc.harvard-dv,Harvard Dataverse,1,0,249,38,,OPEN,,,,,,,,12,"[""10.1162/rest_a_00772""]",repository
10.7910/dvn/ds1jym/y0miml,2018,Dataset,Table2.do,Harvard Dataverse,2018-07-18T17:32:35Z,2020-07-15T18:31:21Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,gdcc.harvard-dv,Harvard Dataverse,0,0,0,0,,,,,,,https://openalex.org/W4398663767,0,0,1,,repository
10.7910/dvn/ds1jym/g0aqto,2018,Dataset,Table_2.smcl,Harvard Dataverse,2018-07-18T17:32:36Z,2020-07-15T18:31:21Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,gdcc.harvard-dv,Harvard Dataverse,0,0,0,0,,,,,,,https://openalex.org/W4398635067,0,0,1,,repository
10.7910/dvn/ds1jym/v84ept,2018,Dataset,Campa_Serafinelli_ReSTAT_Replication_README.pdf,Harvard Dataverse,2018-07-18T17:32:36Z,2020-07-15T18:31:21Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,gdcc.harvard-dv,Harvard Dataverse,0,0,0,0,,,,,,,https://openalex.org/W4398724692,0,0,1,,repository
10.7910/dvn/ds1jym/i9wff5,2018,Dataset,Table1.do,Harvard Dataverse,2018-07-18T17:32:37Z,2020-07-15T18:31:21Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,gdcc.harvard-dv,Harvard Dataverse,0,0,0,0,,,,,,,https://openalex.org/W4398422645,0,0,1,,repository
