doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.13140/2.1.4327.8724,2005,Other,Software for determining the third order Volterra kernels of radio frequency power amplifiers,University of Gävle,2014-09-11T15:10:39Z,2025-10-02T04:00:58Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,13,,repository
10.13140/rg.2.1.3079.3447,2005,Other,Svensk avfallshantering – Diskussion kring dagsläget och branschens forskningsbehov,University of Gävle,2015-08-24T10:58:37Z,2025-10-08T10:08:53Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,9,,repository
10.13140/rg.2.1.3336.3685,2009,Other,Biogas i Gästrikeregionen - en systemanalys,University of Gävle,2015-08-25T06:38:33Z,2025-10-08T10:10:04Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,6,,repository
10.13140/rg.2.1.2006.9604,2010,Other,Hållbar konsumtion och hållbar avfallshantering – vad är det?,University of Gävle,2015-09-02T09:19:37Z,2025-10-08T10:22:44Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,9,,repository
10.13140/rg.2.1.1056.6883,2010,Other,Regional avfallsplanering,University of Gävle,2015-09-02T09:22:24Z,2025-10-08T10:22:44Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,2,,repository
10.13140/rg.2.1.1580.9761,2010,Other,Avfallsprevention i stålindustrin - Exempel från Sandvik Materials Technology,University of Gävle,2015-09-02T09:29:08Z,2025-10-08T10:22:45Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,9,,repository
10.13140/rg.2.1.3940.2720,2012,Other,"Perspektiv på biogas - en antologi om biogas som drivmedel med fokus på teknik, miljöpåverkan och samhällsnytta",University of Gävle,2015-09-02T09:38:37Z,2025-10-08T10:22:46Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,17,,repository
10.2312/egs.20011013,2001,article,Approximated Phong Shading by using the Euler Method,Eurographics Association,2015-11-12T10:32:28Z,2020-08-19T21:28:10Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,tib.eugraph,Eurographics,0,0,0,0,,,,,,,,8,,repository
10.2312/egs.20021024,2002,article,Improved Bump Mapping by using Quadratic Vector Interpolation,Eurographics Association,2015-11-12T10:36:54Z,2020-08-19T21:28:19Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,tib.eugraph,Eurographics,0,0,0,0,,,,,,,,8,,repository
10.13140/rg.2.1.4007.1762,2015,Other,"Energi och växtnäring från hästgödsel: Förbehandling, rötning och biogödselavsättning",University of Gävle,2015-12-24T20:11:43Z,2025-10-08T13:23:11Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,9,,repository
