doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.4231/d36h4cp9j,2011,Dataset,Dataset for Investigating Computational Efficiency of Alternative Arterial Offset Optimization Algorithms,"Indiana Department of Transportation and Purdue University, West Lafayette, Indiana",2011-10-10T15:10:55Z,2023-10-04T17:49:38Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,purdue.purduelib,Purdue University Research Repository,0,0,0,0,,,,,,,,11,,repository
10.5061/dryad.69t48k87,2011,Dataset,Data from: Comparative transcriptomics and gene expression in larval tiger salamander (Ambystoma tigrinum) gill and lung tissues as revealed by pyrosequencing,Dryad,2011-11-11T18:22:17Z,2026-01-26T19:57:37Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,1,324,42,,,,,,,,21,,repository
10.5061/dryad.1409,2010,Dataset,Data from: Contrasting patterns of genetic diversity at three different genetic markers in a marine mammal metapopulation,Dryad,2011-11-22T17:42:24Z,2026-01-26T22:35:34Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,0,287,61,,,,,,,,17,,repository
10.5061/dryad.n8963,2011,Dataset,Data from: Mechanisms of kin discrimination inferred from pedigrees and the spatial distribution of mates,Dryad,2011-11-22T18:02:53Z,2026-01-26T21:34:33Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,0,185,8,,,,,,,,15,,repository
10.5061/dryad.jm3bs78v,2011,Dataset,Data from: Rates of anagenetic evolution and selection intensity in Middle and Upper Ordovician species of the bryozoan genus Peronopora,Dryad,2011-12-13T20:40:58Z,2026-01-27T07:57:33Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,1,164,4,,,,,,,,20,,repository
10.5061/dryad.q0740kp8,2012,Dataset,Data from: Discovery and evaluation of candidate sex-determining genes and xenobiotics in the gonads of lake sturgeon (Acipenser fulvescens),Dryad,2012-02-10T16:13:43Z,2026-01-26T19:40:43Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,1,267,19,,,,,,,,19,,repository
10.5061/dryad.c919g,2012,Dataset,Data from: Comparing taxonomic and geographic scales in the morphologic disparity of Ordovician through Early Silurian Laurentian Crinoids,Dryad,2012-06-01T17:20:35Z,2026-01-27T07:03:33Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,1,176,11,,,,,,,,18,,repository
10.5061/dryad.5pd17,2012,Dataset,"Data from: The effects of contig length and depth on the estimation of SNP frequencies, and the relative abundance of SNPs in protein-coding and non-coding transcripts of tiger salamanders (Ambystoma tigrinum)",Dryad,2012-06-08T19:15:34Z,2026-01-27T11:13:19Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,1,176,21,,,,,,,,31,,repository
10.5061/dryad.sf654,2015,Dataset,Data from: A priori and a posteriori approaches for finding genes of evolutionary interest in non-model species: osmoregulatory genes in the kidney transcriptome of the desert rodent Dipodomys spectabilis (banner-tailed kangaroo rat),Dryad,2012-08-30T20:03:31Z,2026-01-27T16:36:11Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,0,371,46,,,,,,,,32,,repository
10.5061/dryad.31nd3,2013,Dataset,Data from: Songbird frequency selectivity and temporal resolution vary with sex and season,Dryad,2012-10-26T15:10:58Z,2026-01-27T05:44:44Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,1,179,12,,,,,,,,13,,repository
10.5061/dryad.b922k,2013,Dataset,Data from: The hindgut-lumen prokaryotic microbiota of the lignocellulose-degrading termite Reticulitermes flavipes and its responses to dietary lignocellulose composition,Dryad,2013-01-03T20:21:58Z,2026-01-26T21:13:48Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,0,2615,1073,,,,,,,,19,,repository
10.5061/dryad.1012q,2013,Dataset,"Data from: Multilevel selection with kin and non-kin groups, experimental results with Japanese quail (Coturnix japonica)",Dryad,2013-01-17T15:30:10Z,2026-01-27T01:19:27Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,1,243,24,,,,,,,,16,,repository
10.5061/dryad.cb850,2013,Dataset,Data from: Coevolutionary patterns and diversification of ant-fungus associations in the asexual fungus-farming ant Mycocepurus smithii in Panama,Dryad,2013-02-06T19:47:11Z,2026-01-26T22:59:09Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,0,250,31,,,,,,,,18,,repository
10.5061/dryad.72vq2,2013,Dataset,Data from: Cladistic analysis of the Paleozoic bryozoan family Monticuliporidae and Mesotrypidae,Dryad,2013-03-19T16:26:25Z,2026-01-27T03:21:33Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,1,275,94,,,,,,,,12,,repository
10.5061/dryad.1kk2k,2013,Dataset,Data from: Signatures of selection in the Iberian honey bee (Apis mellifera iberiensis) revealed by a genome scan analysis of single nucleotide polymorphisms,Dryad,2013-09-20T17:14:55Z,2026-01-27T14:40:51Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,2,2,320,62,,,,,,,,23,,repository
10.3886/icpsr03546.v1,2005,Dataset,"SABE - Survey on Health, Well-Being, and Aging in Latin America and the Caribbean, 2000",ICPSR - Interuniversity Consortium for Political and Social Research,2014-01-08T15:04:09Z,2025-04-07T19:51:33Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,gesis.icpsr,ICPSR,7,0,1,0,,,,,,,,15,,repository
10.3886/icpsr03789.v1,2003,Dataset,"Impact of Community Policing Training and Program Implementation on Police Personnel in Arizona, 1995-1998",ICPSR - Interuniversity Consortium for Political and Social Research,2014-01-08T15:13:09Z,2025-06-26T13:53:00Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,gesis.icpsr,ICPSR,0,0,1,0,,,,,,,,14,,repository
10.3886/icpsr03546,2005,Dataset,"SABE - Survey on Health, Well-Being, and Aging in Latin America and the Caribbean, 2000",ICPSR - Interuniversity Consortium for Political and Social Research,2014-01-10T20:57:29Z,2026-03-11T19:31:07Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,gesis.icpsr,ICPSR,52,0,0,0,,,,,,,,15,,repository
10.3886/icpsr03789,2003,Dataset,"Impact of Community Policing Training and Program Implementation on Police Personnel in Arizona, 1995-1998",ICPSR - Interuniversity Consortium for Political and Social Research,2014-01-10T21:04:41Z,2025-07-28T19:11:59Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,gesis.icpsr,ICPSR,6,0,0,0,,,,,,,,14,,repository
10.5281/zenodo.7912,2013,Text,Comparative Effect Of Type 1 And Type 2 Diabetes Mellitus On Vascular Responses Of Rat Thoracic Aorta To Potassium Ion Channel Openers,Zenodo,2014-02-03T11:47:31Z,2020-07-28T08:20:55Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,22,,repository
10.5281/zenodo.7939,2013,Text,U.S. Coast Guard Academy Injury And Risk Factor Study,Zenodo,2014-02-03T11:55:42Z,2020-07-28T08:20:58Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,9,,repository
10.5061/dryad.m4cc1,2014,Dataset,Data from: Mapping and expression of candidate genes for development rate in rainbow trout (Oncorhynchus mykiss),Dryad,2014-02-24T17:26:17Z,2026-01-27T14:49:42Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,1,216,27,,,,,,,,16,,repository
