doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteResourceType,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireResourceType,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexResourceType,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.13140/rg.2.1.5007.6324,2015,Other,"This report presents the development and implementation of the UN Principles of Responsible Education (PRME) at the International Business School in Jönköping University, Sweden.",Jönköping University,2015-06-07T14:47:48Z,2025-10-07T17:03:54Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Other,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,24,,repository
10.5281/zenodo.2628367,2019,Software,RealEstateCore/rec: V3.0 -- Usability and maintainability refactoring,Zenodo,2019-04-04T11:37:44Z,2023-04-25T18:05:04Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Software,cern.zenodo,Zenodo,0,0,1,0,,,,,,,,,,7,,repository
10.5281/zenodo.2628366,2021,Software,"RealEstateCore/rec: V3.3 -- Assets, Spatial Model, Capability Model, QUDT",Zenodo,2019-04-04T11:37:45Z,2023-04-21T09:34:32Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,Software,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,9,,repository
10.5281/zenodo.3258379,2019,Software,comodide/CoModIDE: Version 1.0-RC1,Zenodo,2019-06-27T14:32:10Z,2020-07-29T18:48:07Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Software,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,3,,repository
10.5281/zenodo.3540773,2019,Software,comodide/CoModIDE: First stable release,Zenodo,2019-11-13T14:46:17Z,2020-07-30T08:53:47Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Software,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,4,,repository
10.5281/zenodo.3545997,2019,Software,RealEstateCore/rec: V3.1 -- Actuation Model,Zenodo,2019-11-18T14:24:17Z,2020-07-30T09:08:47Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Software,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,5,,repository
10.26044/esi2020/esi-09297,2020,Text,Interacting with children during radiographic procedures,ESR EuroSafe Imaging,2020-02-26T09:33:10Z,2020-07-31T20:49:47Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,myesr.esr,European Society of Radiology,0,0,0,0,,,,,,,,,,6,,repository
10.5878/ypfc-1r35,2024,Dataset,Interviews with 22 children who has visited a relative in an adult intensive care unit,University of Gothenburg,2020-02-27T02:30:35Z,2026-03-23T10:50:09Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,2,2,0,0,,RESTRICTED,,,,,,,,15,"[""10.1111/j.1365-2648.2007.04472.x"", ""10.1016/j.iccn.2015.07.007""]",repository
10.5878/c71x-pt97,2019,Dataset,Children's experiences of visiting av seriously ill/injured relative on an adult intensive care unit - Interviews with 22 children who has visited a relative in an adult intensive care unit,University of Gothenburg,2020-02-27T02:30:36Z,2026-03-23T10:20:49Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,2,0,0,0,,,,,,,,,,30,"[""10.1111/j.1365-2648.2007.04472.x"", ""10.1016/j.iccn.2015.07.007""]",repository
10.5878/vq84-2e75,2020,Dataset,How children and teachers spend their time in preschool: systematic child and teacher observations in 78 Swedish preschool units,Jönköping University,2020-04-10T01:30:36Z,2026-03-23T10:52:16Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,1,1,0,0,,OPEN,,,,,,,,19,"[""10.1080/03004430.2020.1754209""]",repository
