doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteResourceType,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireResourceType,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexResourceType,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5061/dryad.c08b5,2019,Dataset,Data from: Recent rapid speciation and ecomorph divergence in Indo-Australian sea snakes,Dryad,2013-02-13T15:46:06Z,2025-05-01T01:42:42Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,320,45,,OPEN,3,3,,,,,,12,"[""doi:10.1111/mec.12291""]",repository
10.5061/dryad.50r1b,2015,Dataset,Data from: Tolerance to gamma radiation in the tardigrade Hypsibius dujardini from embryo to adult correlate inversely with cellular proliferation,Dryad,2015-08-06T20:05:57Z,2026-01-27T11:05:53Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,317,40,,OPEN,0,2,,,,,,20,,repository
10.13140/rg.2.2.30994.45769,2016,Other,Mandelmel-muffins til ældre - Et pilotprojekt med tilberedning- og ingrediensjustering WP2 - Udvikling og afprøvning af herlige ELDORADO måltider,"Kristianstad University, Sweden",2016-09-02T14:33:08Z,2025-10-09T14:47:48Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Other,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,19,,repository
10.5061/dryad.78vd3,2017,Dataset,Data from: Experimentally induced repeated anhydrobiosis in the eutardigrade Richtersius coronifer,Dryad,2016-09-22T20:54:37Z,2026-01-27T08:15:28Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,211,12,,OPEN,0,2,,,,,,11,,repository
10.5061/dryad.21vd2,2017,Dataset,"Data from: Tolerance to gamma radiation in the marine heterotardigrade, Echiniscoides sigismundi",Dryad,2016-12-13T15:51:02Z,2026-01-27T09:19:57Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,265,15,,OPEN,0,2,,,,,,12,,repository
10.5061/dryad.74gd7,2017,Dataset,Data from: Admixture between released and wild game birds: a changing genetic landscape in European mallards (Anas platyrhynchos),Dryad,2017-12-05T12:40:45Z,2026-01-26T21:42:30Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,0,243,12,,OPEN,1,2,,,,,,18,,repository
10.5281/zenodo.3359892,2019,Text,ESA's Voyage 2050 Long-term Plan for Education and Public Engagement (ESA's Voyage 2050 White Paper),Zenodo,2019-08-05T10:06:59Z,2020-07-29T21:42:36Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,1,0,,,,,,,,,,15,,repository
10.5281/zenodo.3359891,2019,Text,ESA's Voyage 2050 Long-term Plan for Education and Public Engagement (ESA's Voyage 2050 White Paper),Zenodo,2019-08-05T10:07:00Z,2020-07-29T21:42:36Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,15,,repository
10.5281/zenodo.3360374,2019,Text,ESA's Voyage 2050 Long-term Plan for Education and Public Engagement (ESA's Voyage 2050 White Paper),Zenodo,2019-08-05T10:11:37Z,2020-07-29T21:42:37Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,15,,repository
10.5878/0c63-yr66,2019,Dataset,Tabular summary of 58 SEN assessment reports from Sweden and Germany,University of Gothenburg,2019-11-28T02:30:42Z,2026-03-23T10:52:05Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,RESTRICTED,,,,,,,,11,,repository
10.5878/3n2k-fm21,2019,Dataset,Tabular summary of 58 SEN assessment reports from Sweden and Germany,University of Gothenburg,2019-11-28T02:30:42Z,2026-03-23T10:20:12Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,RESTRICTED,,,,,,,,11,,repository
10.5878/rk5m-1t54,2020,Dataset,Measuring next of kin´s experience of participation in the care of older people in nursing homes,Kristianstad University,2020-01-14T02:31:05Z,2026-03-23T10:52:11Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,OPEN,,,,,,,,16,,repository
10.5878/8mj1-3y24,2020,Dataset,Measuring next of kin´s experience of participation in the care of older people in nursing homes,Kristianstad University,2020-01-14T02:31:06Z,2026-03-23T10:20:32Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,,,,,,,,,16,,repository
10.6084/m9.figshare.12038157,2020,JournalArticle,Additional file 1 of Barriers and facilitators for individualized rehabilitation during breast cancer treatment – a focus group study exploring health care professionals’ experiences,figshare,2020-03-27T04:25:46Z,2026-03-10T09:19:37Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,27,0,0,,,,,,,,,,24,"[""10.1186/s12913-020-05107-7""]",repository
10.6084/m9.figshare.12038157.v1,2020,JournalArticle,Additional file 1 of Barriers and facilitators for individualized rehabilitation during breast cancer treatment – a focus group study exploring health care professionals’ experiences,figshare,2020-03-27T04:25:46Z,2026-03-10T09:19:37Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,27,0,0,,,,,,,,,,24,"[""10.1186/s12913-020-05107-7""]",repository
10.5061/dryad.qz612jmbk,2020,Dataset,Data from: Seasonality determines patterns of growth and age structure over a geographic gradient in an ectothermic vertebrate,Dryad,2020-05-12T15:54:59Z,2026-01-27T22:46:18Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,112,8,,OPEN,0,6,,,,,,18,,repository
10.6084/m9.figshare.12307853,2020,JournalArticle,Additional file 1 of Factors associated with good health among older persons who received a preventive home visit: a cross-sectional study,figshare,2020-05-15T03:39:16Z,2026-03-09T20:41:48Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,0,0,0,,,,,,,,,,21,"[""10.1186/s12889-020-08775-6""]",repository
10.6084/m9.figshare.12307853.v1,2020,JournalArticle,Additional file 1 of Factors associated with good health among older persons who received a preventive home visit: a cross-sectional study,figshare,2020-05-15T03:39:20Z,2026-03-09T20:41:48Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,0,0,0,,,,,,,,,,21,"[""10.1186/s12889-020-08775-6""]",repository
10.6084/m9.figshare.c.5014901,2020,Collection,Sarcopenic obesity and associations with mortality in older women and men – a prospective observational study,figshare,2020-06-10T03:40:06Z,2024-05-14T06:36:29Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Collection,figshare.ars,figshare Academic Research System,0,1,0,0,,OPEN,,,,,,,,16,,repository
10.6084/m9.figshare.c.5014901.v1,2020,Collection,Sarcopenic obesity and associations with mortality in older women and men – a prospective observational study,figshare,2020-06-10T03:40:06Z,2024-05-13T14:07:46Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Collection,figshare.ars,figshare Academic Research System,0,1,0,0,,OPEN,,,,,,,,16,,repository
10.6084/m9.figshare.12457076,2020,JournalArticle,Additional file 1 of Sarcopenic obesity and associations with mortality in older women and men – a prospective observational study,figshare,2020-06-10T03:43:21Z,2026-03-09T18:17:46Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,32,0,0,,,,,,,,,,20,"[""10.1186/s12877-020-01578-9""]",repository
10.6084/m9.figshare.12457076.v1,2020,JournalArticle,Additional file 1 of Sarcopenic obesity and associations with mortality in older women and men – a prospective observational study,figshare,2020-06-10T03:43:22Z,2026-03-09T18:17:47Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,32,0,0,,,,,,,,,,20,"[""10.1186/s12877-020-01578-9""]",repository
10.5061/dryad.d51c5b007,2020,Dataset,Data from: Biocultural approaches to sustainability: a systematic review of the scientific literature,Dryad,2020-06-25T19:26:23Z,2026-01-27T23:09:15Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,0,230,34,,OPEN,1,3,,,,,,13,,repository
10.6084/m9.figshare.12878795,2020,Dataset,"Additional file 1 of Genome wide SNP discovery, analysis and evaluation in mallard (Anas platyrhynchos)",figshare,2020-08-27T13:45:27Z,2024-02-15T19:21:35Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,figshare.ars,figshare Academic Research System,1,0,0,0,,OPEN,,,,,https://openalex.org/W4394105040,0,0,15,"[""10.1186/1471-2164-12-150""]",repository
10.6084/m9.figshare.12878807,2020,JournalArticle,"Additional file 5 of Genome wide SNP discovery, analysis and evaluation in mallard (Anas platyrhynchos)",figshare,2020-08-27T13:45:27Z,2026-03-09T09:23:45Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,0,0,0,,,,,,,,,,15,"[""10.1186/1471-2164-12-150""]",repository
10.6084/m9.figshare.12878801,2020,JournalArticle,"Additional file 3 of Genome wide SNP discovery, analysis and evaluation in mallard (Anas platyrhynchos)",figshare,2020-08-27T13:45:28Z,2026-03-09T09:23:47Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,0,0,0,,,,,,,,,,15,"[""10.1186/1471-2164-12-150""]",repository
10.6084/m9.figshare.12878798,2020,JournalArticle,"Additional file 2 of Genome wide SNP discovery, analysis and evaluation in mallard (Anas platyrhynchos)",figshare,2020-08-27T13:45:29Z,2026-03-09T09:23:48Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,0,0,0,,,,,,,,,,15,"[""10.1186/1471-2164-12-150""]",repository
10.6084/m9.figshare.12878801.v1,2020,JournalArticle,"Additional file 3 of Genome wide SNP discovery, analysis and evaluation in mallard (Anas platyrhynchos)",figshare,2020-08-27T13:45:29Z,2026-03-09T09:23:48Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,0,0,0,,,,,,,,,,15,"[""10.1186/1471-2164-12-150""]",repository
10.6084/m9.figshare.12878804,2020,Image,"Additional file 4 of Genome wide SNP discovery, analysis and evaluation in mallard (Anas platyrhynchos)",figshare,2020-08-27T13:45:29Z,2024-02-15T19:22:38Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Image,figshare.ars,figshare Academic Research System,1,0,0,0,,,,,,,,,,15,"[""10.1186/1471-2164-12-150""]",repository
10.6084/m9.figshare.12878804.v1,2020,Image,"Additional file 4 of Genome wide SNP discovery, analysis and evaluation in mallard (Anas platyrhynchos)",figshare,2020-08-27T13:45:29Z,2024-02-15T19:24:15Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Image,figshare.ars,figshare Academic Research System,1,0,0,0,,,,,,,,,,15,"[""10.1186/1471-2164-12-150""]",repository
10.6084/m9.figshare.12878795.v1,2020,Dataset,"Additional file 1 of Genome wide SNP discovery, analysis and evaluation in mallard (Anas platyrhynchos)",figshare,2020-08-27T13:45:32Z,2024-02-15T19:21:36Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,figshare.ars,figshare Academic Research System,1,0,0,0,,OPEN,,,,,,,,15,"[""10.1186/1471-2164-12-150""]",repository
10.6084/m9.figshare.12878798.v1,2020,JournalArticle,"Additional file 2 of Genome wide SNP discovery, analysis and evaluation in mallard (Anas platyrhynchos)",figshare,2020-08-27T13:45:32Z,2026-03-09T09:23:49Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,0,0,0,,,,,,,,,,15,"[""10.1186/1471-2164-12-150""]",repository
10.6084/m9.figshare.c.4845198,2020,Collection,"Genome wide SNP discovery, analysis and evaluation in mallard (Anas platyrhynchos)",figshare,2020-08-27T13:45:36Z,2024-03-22T08:57:04Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Collection,figshare.ars,figshare Academic Research System,0,0,0,0,,OPEN,,,,,,,,11,,repository
10.6084/m9.figshare.12878807.v1,2020,JournalArticle,"Additional file 5 of Genome wide SNP discovery, analysis and evaluation in mallard (Anas platyrhynchos)",figshare,2020-08-27T13:45:40Z,2026-03-09T09:23:46Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,0,0,0,,,,,,,,,,15,"[""10.1186/1471-2164-12-150""]",repository
10.6084/m9.figshare.c.4845198.v1,2020,Collection,"Genome wide SNP discovery, analysis and evaluation in mallard (Anas platyrhynchos)",figshare,2020-08-27T13:45:40Z,2024-03-22T08:57:04Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Collection,figshare.ars,figshare Academic Research System,0,0,0,0,,OPEN,,,,,,,,11,,repository
10.5878/v071-k883,2020,Dataset,"Next of kin participation in the care of older people in nursing homes – a pre-post non-randomised educational evaluation, using within group and individual person-level comparisons",Kristianstad University,2020-12-16T10:46:27Z,2026-03-23T10:52:55Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,2,0,0,0,,OPEN,,,,,,,,26,"[""10.1186/s12904-018-0308-2"", ""10.1371/journal.pone.0228379""]",repository
10.5878/bknc-4277,2020,Dataset,"Next of kin participation in the care of older people in nursing homes – a pre-post non-randomised educational evaluation, using within group and individual person-level comparisons",Kristianstad University,2020-12-16T10:46:30Z,2026-03-23T10:23:11Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,2,0,0,0,,,,,,,,,,26,"[""10.1186/s12904-018-0308-2"", ""10.1371/journal.pone.0228379""]",repository
10.6084/m9.figshare.13684540.v1,2021,JournalArticle,Additional file 1 of Menopause is a natural stage of aging: a qualitative study,figshare,2021-02-02T04:44:44Z,2026-03-07T20:49:39Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,11,0,0,,,,,,,,,,14,"[""10.1186/s12905-020-01164-6""]",repository
10.6084/m9.figshare.13684540,2021,JournalArticle,Additional file 1 of Menopause is a natural stage of aging: a qualitative study,figshare,2021-02-02T04:44:54Z,2026-03-07T20:49:38Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,11,0,0,,,,,,,,,,14,"[""10.1186/s12905-020-01164-6""]",repository
10.6084/m9.figshare.14843145.v1,2021,JournalArticle,Additional file 1 of Documentation of older people’s end-of-life care in the context of specialised palliative care: a retrospective review of patient records,figshare,2021-06-25T04:27:29Z,2026-03-06T13:36:33Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,42,0,0,,,,,,,,,,23,"[""10.1186/s12904-021-00771-w""]",repository
10.6084/m9.figshare.14843145,2021,JournalArticle,Additional file 1 of Documentation of older people’s end-of-life care in the context of specialised palliative care: a retrospective review of patient records,figshare,2021-06-25T04:45:26Z,2026-03-06T13:36:32Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,42,0,0,,,,,,,,,,23,"[""10.1186/s12904-021-00771-w""]",repository
10.6084/m9.figshare.15040791,2021,JournalArticle,Additional file 1 of Supportive and demanding managerial circumstances and associations with excellent workability: a cross-sectional study of Swedish school principals,figshare,2021-07-23T03:25:46Z,2026-03-06T10:27:32Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,45,0,0,,,,,,,,,,21,"[""10.1186/s40359-021-00608-4""]",repository
10.6084/m9.figshare.15040791.v1,2021,JournalArticle,Additional file 1 of Supportive and demanding managerial circumstances and associations with excellent workability: a cross-sectional study of Swedish school principals,figshare,2021-07-23T03:25:47Z,2026-03-06T10:27:33Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,45,0,0,,,,,,,,,,21,"[""10.1186/s40359-021-00608-4""]",repository
10.5061/dryad.f7m0cfxwh,2021,Dataset,"Effects of released farmed mallards on species richness of breeding waterbirds and amphibians in natural, restored, and constructed wetlands",Dryad,2021-09-01T19:54:10Z,2026-01-28T05:39:37Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,0,191,21,,OPEN,4,6,,,,,,19,,repository
10.6084/m9.figshare.16879915,2021,JournalArticle,Additional file 1 of Comparison of the 2010 and 2019 diagnostic criteria for sarcopenia by the European Working Group on Sarcopenia in Older People (EWGSOP) in two cohorts of Swedish older adults,figshare,2021-10-27T03:25:28Z,2026-03-05T15:19:22Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,58,0,0,,,,,,,,,,32,"[""10.1186/s12877-021-02533-y""]",repository
10.6084/m9.figshare.16879915.v1,2021,JournalArticle,Additional file 1 of Comparison of the 2010 and 2019 diagnostic criteria for sarcopenia by the European Working Group on Sarcopenia in Older People (EWGSOP) in two cohorts of Swedish older adults,figshare,2021-10-27T03:25:28Z,2026-03-05T15:19:24Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,58,0,0,,,,,,,,,,32,"[""10.1186/s12877-021-02533-y""]",repository
10.5878/sxqq-ck10,2021,Dataset,Evaluation of brownification mitigation potential of a wetland constructed in a managed Swedish forest - Osby,Kristianstad University,2021-11-19T12:02:22Z,2026-03-23T10:46:18Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,OPEN,,,,,,,,16,,repository
10.5878/ymaj-0f19,2021,Dataset,Evaluation of brownification mitigation potential of a wetland constructed in a managed Swedish forest - Osby,Kristianstad University,2021-11-19T12:02:23Z,2026-03-23T10:14:58Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,,,,,,,,,16,,repository
10.6084/m9.figshare.c.5881514,2022,Collection,Predictors of effective clinical teaching – nursing educators’ perspective,figshare,2022-03-08T04:38:12Z,2022-03-08T04:38:23Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Collection,figshare.ars,figshare Academic Research System,0,0,0,0,,OPEN,,,,,,,,9,"[""10.1186/s12912-022-00836-y""]",repository
