doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteResourceType,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireResourceType,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexResourceType,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5061/dryad.h122b,2013,Dataset,Data from: Hyaluronan and N-ERC/mesothelin as key biomarkers in a specific two-step model to predict pleural malignant mesothelioma,Dryad,2013-07-15T18:28:41Z,2026-01-27T03:51:00Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,615,94,,OPEN,0,2,,,,,,18,,repository
10.5061/dryad.c6q65,2013,Dataset,Data from: Internet-delivered therapist-guided physical activity for mild to moderate depression: a randomized controlled trial,Dryad,2013-09-18T15:59:20Z,2026-01-27T07:26:40Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,1617,415,,OPEN,3,9,,,,,,15,,repository
10.5878/000087,2013,Dataset,Health and working conditions of Swedish school teachers 1978,Karolinska Institutet,2013-12-17T19:28:45Z,2026-03-23T11:11:20Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,RESTRICTED,,,,,,,,9,,repository
10.5878/000429,2025,Dataset,Effects of a free sabbatical year,Karolinska Institutet,2013-12-17T19:34:25Z,2026-03-05T15:33:59Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,RESTRICTED,,,,,,,,6,,repository
10.5878/000431,2025,Dataset,REBUS93 - Rehabilitation survey in Stockholm county 1993,Karolinska Institutet,2013-12-17T19:34:27Z,2026-03-05T15:32:21Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,1,0,0,0,,RESTRICTED,,,,,,,,8,"[""10.1016/j.puhe.2016.03.005""]",repository
10.5878/001615,2013,Dataset,Health and working conditions of Swedish school teachers 1978,Karolinska Institutet,2013-12-17T19:57:02Z,2026-03-23T10:33:20Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,,,,,,,,,9,,repository
10.5878/001616,2006,Dataset,Effects of a free sabbatical year - Respondents on sabbatical year,Karolinska Institutet,2013-12-17T19:57:04Z,2026-03-23T10:33:23Z,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,RESTRICTED,,,,,,,,11,,repository
10.5878/001617,2013,Dataset,Effects of a free sabbatical year - Effects of a sabbatical year - Substitutes,Karolinska Institutet,2013-12-17T19:57:05Z,2026-03-23T10:33:27Z,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,RESTRICTED,,,,,,,,14,,repository
10.5878/001618,2013,Dataset,Effects of a free sabbatical year - Respondents on sabbatical year,Karolinska Institutet,2013-12-17T19:57:06Z,2026-03-23T10:33:33Z,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,,,,,,,,,11,,repository
10.5878/001620,2013,Dataset,Effects of a free sabbatical year - Applied for sabbatical year but not granted,Karolinska Institutet,2013-12-17T19:57:07Z,2026-03-23T10:33:40Z,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,RESTRICTED,,,,,,,,14,,repository
10.3886/icpsr03843.v1,2005,Dataset,"Swedish Adoption/Twin Study on Aging (SATSA), 1984, 1987, 1990, 1993, 2004, 2007, and 2010",ICPSR - Interuniversity Consortium for Political and Social Research,2014-01-08T15:15:29Z,2026-06-09T22:00:10Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,gesis.icpsr,ICPSR,3,0,4,0,,,,,,,,,,14,,repository
10.3886/icpsr25963.v2,2010,Dataset,"Study of Dementia in Swedish Twins, 1990-1999",ICPSR - Interuniversity Consortium for Political and Social Research,2014-01-08T19:23:34Z,2022-04-22T20:58:21Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,gesis.icpsr,ICPSR,0,0,4,0,,OPEN,,,,,,,,7,,repository
10.3886/icpsr03843,2005,Dataset,"Swedish Adoption/Twin Study on Aging (SATSA), 1984, 1987, 1990, 1993, 2004, 2007, and 2010",ICPSR - Interuniversity Consortium for Political and Social Research,2014-01-10T21:06:36Z,2026-03-11T19:31:30Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,gesis.icpsr,ICPSR,162,0,2,0,,,,,,,,,,14,,repository
10.3886/icpsr25963,2010,Dataset,"Study of Dementia in Swedish Twins, 1990-1999",ICPSR - Interuniversity Consortium for Political and Social Research,2014-01-11T00:18:47Z,2025-07-29T21:36:35Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,gesis.icpsr,ICPSR,27,0,0,0,,OPEN,,,,,https://openalex.org/W4234977346,0,13,7,,repository
10.3886/icpsr25963.v1,2010,Dataset,"Study of Dementia in Swedish Twins, 1990-1999",ICPSR - Interuniversity Consortium for Political and Social Research,2014-01-22T21:52:26Z,2026-06-10T01:35:32Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,gesis.icpsr,ICPSR,0,0,0,0,,OPEN,,,,,,,,7,,repository
10.5281/zenodo.8028,2013,Text,Health-Related Quality Of Life In Assyrian/Syrian And Swedish-Born Patients With Type 2 Diabetes,Zenodo,2014-02-03T12:22:16Z,2020-07-28T08:21:09Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,13,,repository
10.5281/zenodo.8515,2013,Dissertation,Stimulating Neuroprotective and Regenerative Mechanisms in Alzheimer Disease,Zenodo,2014-03-17T15:52:55Z,2026-04-23T01:07:15Z,0,,1,1,1,0,0,0,0,0,0,0,0,0,1,,,,Dissertation,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,8,,repository
