doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5281/zenodo.5831225,2022,Other,Sonification of complex spectral structures,Zenodo,2022-01-09T00:44:17Z,2022-01-09T00:44:18Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,5,,repository
10.5281/zenodo.5831224,2022,Other,Sonification of complex spectral structures,Zenodo,2022-01-09T00:44:19Z,2022-01-09T00:44:19Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,5,,repository
10.5281/zenodo.7071329,2022,JournalArticle,Notation as visual representation of sound-based music,Zenodo,2022-09-12T12:25:35Z,2023-01-17T14:19:21Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,7,,repository
10.5281/zenodo.7071328,2022,JournalArticle,Notation as visual representation of sound-based music,Zenodo,2022-09-12T12:25:36Z,2023-01-17T14:19:22Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,7,,repository
10.5281/zenodo.10473408,2023,ConferenceProceeding,Music and Installation Programme - The Sound and Music Computing Conference 2023,Zenodo,2024-01-09T09:52:45Z,2024-01-09T09:52:45Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,12,,repository
10.5281/zenodo.10473407,2023,ConferenceProceeding,Music and Installation Programme - The Sound and Music Computing Conference 2023,Zenodo,2024-01-09T09:53:06Z,2024-01-09T09:53:06Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,12,,repository
10.5281/zenodo.10829830,2024,ConferencePaper,Learning Body Movement Sonification in an Hour,Zenodo,2024-03-18T12:19:18Z,2024-03-18T12:19:19Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,7,,repository
10.5281/zenodo.10829831,2024,ConferencePaper,Learning Body Movement Sonification in an Hour,Zenodo,2024-03-18T12:19:18Z,2024-03-18T12:19:19Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,7,,repository
10.5281/zenodo.14339002,2024,ConferencePaper,A Speaker Agnostic Approach to Spatialisation in Electroacoustic Music,Zenodo,2024-12-09T17:27:03Z,2024-12-09T17:27:04Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,9,,repository
10.5281/zenodo.14339003,2024,ConferencePaper,A Speaker Agnostic Approach to Spatialisation in Electroacoustic Music,Zenodo,2024-12-09T17:27:03Z,2024-12-09T17:27:04Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,9,,repository
10.5281/zenodo.17642085,2025,Text,A Platform for Authoring Interactive Web Audio Learning Objects,Zenodo,2025-11-18T16:07:27Z,2025-11-29T10:29:49Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,9,,repository
10.5281/zenodo.17642084,2025,Text,A Platform for Authoring Interactive Web Audio Learning Objects,Zenodo,2025-11-18T16:07:29Z,2025-11-29T10:29:49Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,9,,repository
10.5281/zenodo.17642151,2025,Text,There and Back Again Composing for Networked Reverberation Chamber and Live Orchestra,Zenodo,2025-11-18T16:15:03Z,2025-11-29T10:28:49Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,12,,repository
10.5281/zenodo.17642150,2025,Text,There and Back Again Composing for Networked Reverberation Chamber and Live Orchestra,Zenodo,2025-11-18T16:15:04Z,2025-12-22T15:27:37Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,12,,repository
10.5281/zenodo.18019653,2025,Text,There and Back Again Composing for Networked Reverberation Chamber and Live Orchestra,Zenodo,2025-12-22T15:27:35Z,2025-12-22T15:27:35Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,12,,repository
