doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5281/zenodo.7614,2013,Text,Supporting Cloud Deployment In The Guifi.Net Community Network,Zenodo,2013-12-10T10:58:40Z,2020-07-28T08:16:49Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,8,,repository
10.5878/000162,2008,Dataset,VALU 1991 - SVT exit poll survey parliamentary election 1991,Sveriges Television,2013-12-17T19:29:57Z,2025-09-22T10:33:50Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5878/000251,2008,Dataset,VALU 1994 - SVT exit poll survey parliamentary election 1994,Sveriges Television,2013-12-17T19:31:24Z,2025-09-22T10:36:31Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5878/000296,2008,Dataset,VALU 1994 - SVT exit poll survey EU-referendum 1994,Sveriges Television,2013-12-17T19:32:09Z,2025-09-22T10:39:06Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,9,,repository
10.5878/000297,2008,Dataset,VALU 1995 - SVT exit poll survey European parliament election 1995,Sveriges Television,2013-12-17T19:32:10Z,2025-09-22T10:38:10Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,11,,repository
10.5878/000340,2008,Dataset,VALU 1998 - SVT exit poll survey parliamentary election 1998,Sveriges Television,2013-12-17T19:32:53Z,2025-09-22T10:44:06Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5878/000355,2008,Dataset,VALU 1999 - SVT exit poll survey European parliament election 1999,Sveriges Television,2013-12-17T19:33:09Z,2025-09-22T10:13:14Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,11,,repository
10.5878/000383,2014,Dataset,VALU 2002 - SVT exit poll survey parliamentary election 2002,Sveriges Television,2013-12-17T19:33:38Z,2025-09-22T10:39:28Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5878/000401,2014,Dataset,VALU 2003 - SVT exit poll survey EMU-election 2003,Sveriges Television,2013-12-17T19:33:57Z,2025-09-22T10:13:01Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,9,,repository
10.5878/000406,2014,Dataset,VALU 2004 - SVT exit poll survey European parliament election 2004,Sveriges Television,2013-12-17T19:34:03Z,2025-09-22T10:39:56Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,11,,repository
10.5878/000439,2014,Dataset,VALU 2006 - SVT exit poll survey parliamentary election 2006,Sveriges Television,2013-12-17T19:34:35Z,2025-09-22T10:40:57Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5878/000468,2014,Dataset,VALU 2009 - SVT exit poll survey European parliament election 2009,Sveriges Television,2013-12-17T19:35:06Z,2025-09-22T10:41:03Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,11,,repository
10.5878/000476,2014,Dataset,VALU 2010 - SVT exit poll survey parliamentary election 2010,Sveriges Television,2013-12-17T19:35:14Z,2025-09-22T10:41:39Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5878/001057,2002,Dataset,VALU 2002 - SVT exit poll survey parliamentary election 2002,Sveriges Television,2013-12-17T19:47:07Z,2025-09-22T09:11:56Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5878/001125,1991,Dataset,VALU 1991 - SVT exit poll survey parliamentary election 1991,Sveriges Television,2013-12-17T19:48:19Z,2025-09-22T09:23:01Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5878/001502,2010,Dataset,VALU 2010 - SVT exit poll survey parliamentary election 2010,Sveriges Television,2013-12-17T19:54:59Z,2025-09-22T09:10:02Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5878/001503,2009,Dataset,VALU 2009 - SVT exit poll survey European parliament election 2009,Sveriges Television,2013-12-17T19:55:00Z,2025-09-22T08:50:37Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,11,,repository
10.5878/001504,2007,Dataset,VALU 2006 - SVT exit poll survey parliamentary election 2006,Sveriges Television,2013-12-17T19:55:01Z,2025-09-22T09:09:59Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5878/001505,2008,Dataset,VALU 2006 - SVT exit poll survey parliamentary election 2006,Sveriges Television,2013-12-17T19:55:02Z,2025-09-22T08:43:48Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5878/001506,2004,Dataset,VALU 2004 - SVT exit poll survey European parliament election 2004,Sveriges Television,2013-12-17T19:55:03Z,2025-09-22T09:06:16Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,11,,repository
10.5878/001507,2004,Dataset,VALU 2003 - SVT exit poll survey EMU-election 2003,Sveriges Television,2013-12-17T19:55:04Z,2025-09-22T09:06:49Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,9,,repository
10.5878/001508,2008,Dataset,VALU 2003 - SVT exit poll survey EMU-election 2003,Sveriges Television,2013-12-17T19:55:05Z,2025-09-22T09:06:53Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,9,,repository
10.5878/001509,2008,Dataset,VALU 2002 - SVT exit poll survey parliamentary election 2002,Sveriges Television,2013-12-17T19:55:06Z,2025-09-22T08:44:08Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5878/001510,1999,Dataset,VALU 1999 - SVT exit poll survey European parliament election 1999,Sveriges Television,2013-12-17T19:55:07Z,2025-09-22T09:12:37Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,11,,repository
10.5878/001511,2008,Dataset,VALU 1999 - SVT exit poll survey European parliament election 1999,Sveriges Television,2013-12-17T19:55:08Z,2025-09-22T09:13:02Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,11,,repository
10.5878/001512,1999,Dataset,VALU 1998 - SVT exit poll survey parliamentary election 1998,Sveriges Television,2013-12-17T19:55:10Z,2025-09-22T09:14:27Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5878/001513,2008,Dataset,VALU 1998 - SVT exit poll survey parliamentary election 1998,Sveriges Television,2013-12-17T19:55:11Z,2025-09-22T08:49:15Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5878/001514,1997,Dataset,VALU 1995 - SVT exit poll survey European parliament election 1995,Sveriges Television,2013-12-17T19:55:13Z,2025-09-22T09:14:42Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,11,,repository
10.5878/001515,2008,Dataset,VALU 1995 - SVT exit poll survey European parliament election 1995,Sveriges Television,2013-12-17T19:55:14Z,2025-09-22T09:13:56Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,11,,repository
10.5878/001516,1997,Dataset,VALU 1994 - SVT exit poll survey EU-referendum 1994,Sveriges Television,2013-12-17T19:55:15Z,2025-09-22T08:48:06Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,9,,repository
10.5878/001517,2008,Dataset,VALU 1994 - SVT exit poll survey EU-referendum 1994,Sveriges Television,2013-12-17T19:55:16Z,2025-09-22T09:13:48Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,9,,repository
10.5878/001518,1997,Dataset,VALU 1994 - SVT exit poll survey parliamentary election 1994,Sveriges Television,2013-12-17T19:55:18Z,2025-09-22T09:19:01Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5878/001519,2008,Dataset,VALU 1994 - SVT exit poll survey parliamentary election 1994,Sveriges Television,2013-12-17T19:55:19Z,2025-09-22T09:19:48Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5878/001520,2008,Dataset,VALU 1991 - SVT exit poll survey parliamentary election 1991,Sveriges Television,2013-12-17T19:55:20Z,2025-09-22T09:23:51Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.13140/2.1.3289.4083,2014,Other,TransGovernance Öresund Experiences and future development in transport infrastructure development and governance in the Öresund Region,KTH Royal Institute of Technology,2014-08-12T13:00:15Z,2025-10-02T07:35:49Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,16,,repository
10.13140/2.1.2240.8326,2014,Other,Vision och verklighet i Öresundssamarbetet,KTH Royal Institute of Technology,2014-08-12T13:02:16Z,2025-10-02T07:35:47Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,5,,repository
10.5878/002161,2014,Dataset,VALU 2014 - SVT exit poll survey European parliament election 2014,Sveriges Television,2014-08-19T23:02:52Z,2025-09-22T10:45:38Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,11,,repository
10.5878/002162,2014,Dataset,VALU 2014 - SVT exit poll survey European parliament election 2014,Sveriges Television,2014-08-19T23:02:54Z,2025-09-22T08:58:30Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,11,,repository
10.5878/002163,2014,Dataset,VALU 2009 - SVT exit poll survey European parliament election 2009,Sveriges Television,2014-08-21T23:02:51Z,2025-09-22T09:10:18Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,11,,repository
10.5878/002168,2014,Dataset,VALU 2010 - SVT exit poll survey parliamentary election 2010,Sveriges Television,2014-09-05T23:06:20Z,2025-09-22T09:10:01Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5878/002169,2014,Dataset,VALU 2006 - SVT exit poll survey parliamentary election 2006,Sveriges Television,2014-09-05T23:06:38Z,2025-09-22T09:41:55Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5878/002178,2014,Dataset,VALU 2004 - SVT exit poll survey European parliament election 2004,Sveriges Television,2014-09-09T23:03:27Z,2025-09-22T09:06:39Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,11,,repository
10.5878/002179,2008,Dataset,VALU 2004 - SVT exit poll survey European parliament election 2004,Sveriges Television,2014-09-09T23:03:28Z,2025-09-22T09:07:09Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,11,,repository
10.5878/002180,2014,Dataset,VALU 2003 - SVT exit poll survey EMU-election 2003,Sveriges Television,2014-09-09T23:03:29Z,2025-09-22T09:07:13Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,9,,repository
10.5878/002189,2014,Dataset,VALU 2002 - SVT exit poll survey parliamentary election 2002,Sveriges Television,2014-09-11T23:03:09Z,2025-09-22T08:47:03Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.13140/2.1.3664.5120,2011,Text,BYGGSEKTORNS FÖRMÅGOR,KTH Royal Institute of Technology TRITA FOB-Rapport 2011:4,2014-09-17T15:50:01Z,2025-10-02T03:14:19Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,2,,repository
10.13140/2.1.4684.9286,2011,Other,Analys av smartaelnätsteknologier inom kategorin elnätslösningar,Kungliga Tekniska högskolan,2014-09-25T08:33:15Z,2025-10-02T02:08:50Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,6,,repository
10.5878/002226,2015,Dataset,VALU 2014 - SVT exit poll survey parliamentary election 2014,Sveriges Television,2014-10-13T23:03:53Z,2025-09-22T10:45:55Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5878/002227,2014,Dataset,VALU 2014 - SVT exit poll survey parliamentary election 2014,Sveriges Television,2014-10-13T23:03:55Z,2025-09-22T09:01:09Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,10,,repository
10.5291/ill-data.9-12-339,2013,Dataset,SELF-ASSEMBLY OF SURFACTANTS IN THE PRESENCE OF SILVERNANOPARTICLES,Institut Laue-Langevin (ILL),2014-10-24T14:25:12Z,2020-12-22T18:34:12Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,inist.ill,Institut Laue-Langevin,0,0,0,0,OPEN,,,,,,,8,,repository
10.13140/2.1.1310.0480,2014,Text,GROMACS USER MANUAL (Version 5.0-rc1),"Royal Institute of Technology and Uppsala University, Sweden.",2014-11-05T17:33:50Z,2025-10-02T19:48:41Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,5,,repository
10.7488/ds/75,2014,Sound,Sharvard_IJA,"LISTA Consortium: (i) Language and Speech Laboratory, Universidad del Pais Vasco, Spain and Ikerbasque, Spain; (ii) Centre for Speech Technology Research, University of Edinburgh, UK; (iii) KTH Royal Institute of Technology, Sweden; (iv) Institute of Computer Science, FORTH, Greece",2014-11-06T12:30:07Z,2023-04-27T16:36:44Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,bl.ed,University of Edinburgh,0,0,0,0,,,,,,,,1,,repository
10.7488/ds/133,2013,Sound,Sharvard,"LISTA Consortium: (i) Language and Speech Laboratory, Universidad del Pais Vasco, Spain and Ikerbasque, Spain; (ii) Centre for Speech Technology Research, University of Edinburgh, UK; (iii) KTH Royal Institute of Technology, Sweden; (iv) Institute of Computer Science, FORTH, Greece",2014-11-06T12:30:08Z,2023-04-27T16:37:22Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,bl.ed,University of Edinburgh,0,0,0,0,,,,,,,,1,,repository
10.7488/ds/138,2013,Sound,Acted clear speech corpus,"LISTA Consortium: (i) Language and Speech Laboratory, Universidad del Pais Vasco, Spain and Ikerbasque, Spain; (ii) Centre for Speech Technology Research, University of Edinburgh, UK; (iii) KTH Royal Institute of Technology, Sweden; (iv) Institute of Computer Science, FORTH, Greece",2014-11-06T12:30:09Z,2023-04-27T16:37:23Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,bl.ed,University of Edinburgh,0,0,0,0,,,,,,,,4,,repository
10.7488/ds/139,2013,Sound,DiapixFL,"LISTA Consortium: (i) Language and Speech Laboratory, Universidad del Pais Vasco, Spain and Ikerbasque, Spain; (ii) Centre for Speech Technology Research, University of Edinburgh, UK; (iii) KTH Royal Institute of Technology, Sweden; (iv) Institute of Computer Science, FORTH, Greece.",2014-11-06T12:30:10Z,2023-04-27T16:37:24Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,bl.ed,University of Edinburgh,0,0,0,0,,,,,,,,1,,repository
10.7488/ds/140,2013,Sound,Hurricane natural speech corpus,"LISTA Consortium: (i) Language and Speech Laboratory, Universidad del Pais Vasco, Spain and Ikerbasque, Spain; (ii) Centre for Speech Technology Research, University of Edinburgh, UK; (iii) KTH Royal Institute of Technology, Sweden; (iv) Institute of Computer Science, FORTH, Greece",2014-11-06T12:30:11Z,2023-04-27T16:55:52Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,bl.ed,University of Edinburgh,0,0,0,0,,,,,,,,4,,repository
10.13140/2.1.1914.3360,2013,Text,Hygieniska gränsvärden -till vilken nytta?,KTH - Royal Institute of Technology,2014-11-21T08:25:01Z,2025-10-02T15:50:21Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,5,,repository
10.5878/002619,2015,Dataset,VALU 2014 - SVT exit poll survey parliamentary election 2014,Sveriges Television,2015-02-11T00:03:33Z,2025-09-22T08:42:51Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,1,0,0,0,RESTRICTED,,,,,,,10,,repository
10.13140/2.1.1290.3200,2014,Other,SUSTAINABLE ARSENIC MITIGATION Community driven initiatives to target arsenic safe groundwater as sustainable mitigation strategy - Concept Note,"KTH International Groundwater Arsenic Research Group, Department of Sustainable DEdvelopment, Environmental Science and Engineering, KTH Royal Institute of Technology, Teknikringen 76 SE-10044 Stockholm, (Sweden)",2015-02-13T23:54:17Z,2025-10-06T11:18:58Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,18,,repository
10.5281/zenodo.16939,2015,Software,tvt2015_distributed_CSI_acquisition: v1.0,Zenodo,2015-04-18T13:37:12Z,2023-04-25T21:08:50Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,2,,repository
10.5291/ill-data.9-12-365,2015,Dataset,SELF-ASSEMBLY OF SURFACTANTS IN THE PRESENCE OF SILVER NANOPARTICLES,Institut Laue-Langevin (ILL),2015-06-08T13:13:02Z,2020-12-22T18:33:33Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,inist.ill,Institut Laue-Langevin,0,0,0,0,OPEN,,,,,,,9,,repository
