doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5061/dryad.92p3p,2012,Dataset,Data from: Twentieth-century changes in the genetic composition of Swedish field pea metapopulations,Dryad,2012-10-10T15:42:39Z,2026-01-27T03:45:47Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,223,21,OPEN,0,4,,,,,13,,repository
10.5061/dryad.kp79t,2012,Dataset,Data from: Cryptic speciation in the field vole: a multilocus approach confirms three highly divergent lineages in Eurasia,Dryad,2012-11-30T18:32:30Z,2026-01-27T16:32:43Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,405,117,OPEN,2,2,,,,,18,,repository
10.5167/uzh-78529,2013,Text,Combining statistical machine translation and translation memories with domain adaptation,Linköping University Electronic Press,2013-06-14T01:02:08Z,2026-02-06T03:42:17Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,ethz.zora,"Universität Zürich, ZORA",0,0,0,0,,,,,,,,10,,repository
10.5061/dryad.41311,2013,Dataset,Data from: Cryptic female choice favours sperm from MHC-dissimilar males,Dryad,2013-08-01T15:16:34Z,2026-01-27T08:26:20Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,202,28,OPEN,0,2,,,,,10,,repository
10.5061/dryad.227qn,2014,Dataset,Data from: Social status and personality: stability in social state can promote consistency of behavioural responses,Dryad,2013-10-21T14:13:59Z,2026-01-27T09:25:33Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,182,22,OPEN,2,2,,,,,16,,repository
10.5878/001673,2014,Dataset,Improved energy efficiency through proposing effective measure from a database - DEFRAM,Linköping University,2014-03-22T00:01:12Z,2025-09-22T10:44:46Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,OPEN,,,,,,,12,,repository
10.5878/001674,2014,Dataset,Improved energy efficiency through proposing effective measure from a database - DEFRAM,Linköping University,2014-03-22T00:01:13Z,2025-09-22T08:58:03Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,,,,,,,,12,,repository
10.5061/dryad.bs275,2014,Dataset,Data from: The role of pleiotropy and linkage in genes affecting a sexual ornament and bone allocation in the chicken,Dryad,2014-04-11T17:38:03Z,2026-01-27T11:07:32Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,336,45,OPEN,5,2,,,,,20,,repository
10.5061/dryad.2cf56,2014,Dataset,Data from: Coarse dark patterning functionally constrains adaptive shifts from aposematism to crypsis in strawberry poison frogs,Dryad,2014-06-16T15:59:29Z,2026-01-27T04:49:23Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,259,22,OPEN,0,3,,,,,17,,repository
10.5061/dryad.885g3,2015,Dataset,Data from: Personality predicts social dominance in male domestic fowl,Dryad,2014-07-11T14:36:10Z,2026-01-27T09:55:45Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,244,30,OPEN,2,2,,,,,10,,repository
