doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteResourceType,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireResourceType,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexResourceType,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5061/dryad.8155,2010,Dataset,Data from: All roads lead to home: panmixia of European eel in the Sargasso Sea,Dryad,2011-11-22T19:10:56Z,2026-01-26T23:32:35Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,401,39,,OPEN,1,6,,,,,,15,,repository
10.6105/journal.fka.2012.1.13,2012,Text,Kritische Archäologie ist angewandte Archäologie,datalino,2012-07-25T14:08:48Z,2020-10-10T04:28:31Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,gesis.datalino,datalino,0,0,0,0,,,,,,,,,,5,,repository
10.5061/dryad.8p2f7,2012,Dataset,Data from: Marked host specificity and lack of phylogeographic population structure of Campylobacter jejuni in wild birds,Dryad,2012-11-01T16:50:52Z,2026-01-27T14:25:37Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,238,28,,OPEN,2,3,,,,,,17,,repository
10.5061/dryad.mf3gd,2013,Dataset,Data from: Genetic consequences of breaking migratory traditions in barnacle geese Branta leucopsis,Dryad,2013-10-22T18:02:32Z,2026-01-26T21:09:07Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,dryad.dryad,DRYAD,1,1,348,49,,OPEN,13,3,,,https://openalex.org/W2991703958,0,0,13,,repository
10.5878/000351,1992,Dataset,Media panel 1976,Linnaeus University,2013-12-17T19:33:04Z,2026-03-23T11:13:03Z,1,,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,,,,,,,,,3,,repository
10.5878/000352,2008,Dataset,Songs in school broadcasting 1934-1969,Linnaeus University,2013-12-17T19:33:05Z,2025-09-22T10:11:25Z,1,,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,,,,,,,,,5,,repository
10.5878/000466,2009,Dataset,About structured questions and reliable answers in abuse and dependency care - a reliability study of the interview method DOK,Linnaeus University,2013-12-17T19:35:04Z,2025-09-22T10:00:59Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,RESTRICTED,,,,,,,,20,,repository
10.7910/dvn/27181,2014,Dataset,Replication data for: The Effect of Schooling on Cognitive Skills,Harvard Dataverse,2014-09-09T15:45:37Z,2026-04-16T23:38:12Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,gdcc.harvard-dv,Harvard Dataverse,0,0,130,23,,OPEN,,,,,,,,10,,repository
10.13140/2.1.2139.7762,2013,Text,The Eight-Step Change Model in Practice: A Case Study on Ericsson,Linnaeus University,2014-09-19T09:36:03Z,2025-10-02T02:59:03Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,11,,repository
10.13140/2.1.2926.2088,2014,Text,E-Business – Open Source eCommerce Platforms,Linnaeus University,2014-09-19T09:44:54Z,2025-10-02T02:58:49Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,6,,repository
