doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5061/dryad.09p3k,2011,Dataset,"Data from: A comparative study of ancient sedimentary DNA, pollen and macrofossils from permafrost sediments of northern Siberia reveals long-term vegetational stability",Dryad,2011-07-29T19:16:20Z,2025-12-06T03:11:54Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,1,546,135,,,,,,,,22,,repository
10.5061/dryad.744v6t51,2011,Dataset,Data from: Contracting patterns of diversity and population differentiation at the innate immunity gene Toll-like receptor 2 (TLR2) in two sympatric rodent species,Dryad,2011-09-16T16:05:12Z,2025-12-06T00:49:20Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,1,298,43,,,,,,,,23,,repository
10.5061/dryad.n33q381s,2011,Dataset,Data from: Candidate genes for colour and vision exhibit signals of selection across the pied flycatcher (Ficedula hypoleuca) breeding range,Dryad,2011-09-16T17:30:54Z,2025-12-06T00:20:38Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,1,294,29,,,,,,,,20,,repository
10.5061/dryad.qr8v5f4v,2011,Dataset,Data from: Migratory behavior of birds affects their coevolutionary relationship with blood parasites,Dryad,2011-09-23T15:58:09Z,2025-12-05T21:17:43Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,3,1,303,29,,,,,,,,13,,repository
10.5061/dryad.3b5q2fm6,2011,Dataset,Data from: Vicariance divergence and gene flow among islet populations of an endemic lizard,Dryad,2011-10-21T15:47:14Z,2025-12-05T22:48:12Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,1,278,52,,,,,,,,14,,repository
10.5061/dryad.1521,2010,Dataset,Data from: Stable epigenetic effects impact adaptation in allopolyploid orchids (Dactylorhiza: Orchidaceae),Dryad,2011-11-22T18:12:22Z,2025-12-05T21:14:51Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,1,280,26,,,,,,,,12,,repository
10.5061/dryad.8795,2011,Dataset,Data from: Altered gene expression and ecological divergence in sibling allopolyploids of Dactylorhiza (Orchidaceae),Dryad,2011-11-22T18:55:34Z,2025-12-06T01:41:38Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,1,307,35,,,,,,,,14,,repository
10.5061/dryad.8265,2011,Dataset,"Data from: Population divergence in chemical signals and the potential for premating isolation between islet- and mainland populations of the Skyros wall lizard, (Podarcis gaigeae)",Dryad,2011-11-22T19:02:54Z,2025-12-05T21:41:30Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,1,236,32,,,,,,,,25,,repository
10.5061/dryad.8631,2011,Dataset,Data from: Signatures of selection acting on the innate immunity gene Toll-like receptor 2 (TLR2) during the evolutionary history of rodents,Dryad,2011-11-22T19:09:13Z,2025-12-06T01:13:01Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,dryad.dryad,DRYAD,1,1,251,10,,,,,,,,21,,repository
10.4232/1.4560,2007,Dataset,"Survey of Health, Ageing and Retirement in Europe (SHARE)",GESIS Data Archive,2012-01-10T16:10:02Z,2025-12-02T11:10:54Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,gesis.gesis,GESIS Data Catalogue,0,0,0,0,,,,,,,,9,,repository
