doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteResourceType,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireResourceType,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexResourceType,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5878/000424,2014,Dataset,Activists 2004,Lund University,2013-12-17T19:34:20Z,2026-03-23T11:13:58Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,RESTRICTED,,,,,,,,2,,repository
10.5878/002107,2006,Dataset,Activists 2004,Lund University,2014-07-16T23:02:40Z,2026-03-23T10:36:38Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,RESTRICTED,,,,,,,,2,,repository
10.5878/002108,2014,Dataset,Activists 2004,Lund University,2014-07-16T23:02:41Z,2026-03-23T10:36:39Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,RESTRICTED,,,,,,,,2,,repository
10.13140/rg.2.2.10508.31369,2016,Text,"Making an upcycling station. Makers’ culture, cross-sector collaborations and citizens’ participation for new services and practices within waste handling.",Malmö University,2016-11-15T08:38:43Z,2025-10-15T16:29:16Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,19,,repository
10.5878/002890,2017,Dataset,Effect of food intake on 92 biomarkers for cardiovascular disease,Lund University,2017-05-30T01:30:28Z,2025-09-22T10:24:33Z,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,,,,,,,,,10,,repository
10.5878/002891,2017,Dataset,Effect of food intake on 92 biomarkers for cardiovascular disease,Lund University,2017-05-30T01:30:29Z,2025-09-22T08:57:48Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Dataset,snd.snd,Swedish National Data Service,0,0,0,0,,,,,,,,,,10,,repository
10.5281/zenodo.1241444,2018,Dataset,Clinical Performance Of Dental Implants Following Sinus Floor Augmentation: A Systematic Review And Meta-Analysis Of Clinical Trials With At Least 3 Years Of Follow-U,Zenodo,2018-05-05T16:06:29Z,2020-09-20T02:08:07Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,cern.zenodo,Zenodo,0,0,0,0,,OPEN,8,5,,,,,,24,,repository
10.5281/zenodo.1241443,2018,Dataset,Clinical Performance Of Dental Implants Following Sinus Floor Augmentation: A Systematic Review And Meta-Analysis Of Clinical Trials With At Least 3 Years Of Follow-U,Zenodo,2018-05-05T16:06:31Z,2020-09-20T02:08:07Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,Dataset,cern.zenodo,Zenodo,0,0,0,0,,OPEN,8,5,,,,,,24,,repository
10.5281/zenodo.1250782,2015,Text,Joystick: Co-Creation With A Gaming Community,Zenodo,2018-05-22T11:51:42Z,2020-09-20T02:20:24Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,6,,repository
10.5281/zenodo.1250781,2015,Text,Joystick: Co-Creation With A Gaming Community,Zenodo,2018-05-22T11:51:43Z,2020-09-20T02:20:24Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,6,,repository
10.5281/zenodo.1400984,2018,Dataset,Association Between Periodontitis And General Health: Umbrella Review,Zenodo,2018-08-21T05:24:01Z,2020-09-20T06:28:30Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,cern.zenodo,Zenodo,0,0,0,0,,RESTRICTED,0,18,,,https://openalex.org/W4394034351,0,0,8,,repository
10.5281/zenodo.1400983,2018,Dataset,Association between periodontitis and general health: umbrella review,Zenodo,2018-08-21T05:24:02Z,2020-09-20T06:28:31Z,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,,Dataset,cern.zenodo,Zenodo,0,0,0,0,,RESTRICTED,0,18,,,https://openalex.org/W4393452576,0,0,8,,repository
10.5281/zenodo.2628761,2018,Dataset,Association between periodontitis and general health: umbrella review,Zenodo,2019-04-04T15:46:51Z,2020-07-29T07:20:09Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,cern.zenodo,Zenodo,0,0,0,0,,RESTRICTED,0,18,,,https://openalex.org/W3208383337,0,0,8,,repository
