doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteResourceType,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireResourceType,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexResourceType,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.13140/2.1.2485.8884,2014,Text,Wal-Mart’s German Misadventure,Mälardalen University College,2014-09-21T10:29:37Z,2025-10-02T02:45:49Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,3,,repository
10.13140/rg.2.1.1732.4000,2015,Other,WRITING REFERENCES ACCORDING TO THE APA-STYLE About referencing in academic writing in social work Osman Aytar &amp; Elinor Brunnberg,Mälardalen University,2015-09-13T19:31:36Z,2025-10-08T10:40:53Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Other,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,19,,repository
10.13140/rg.2.1.2780.9768,2015,Other,ATT SKRIVA REFERENSER ENLIGT APA-STILEN Om referenshantering i akademiskt skrivande inom socialt arbete Osman Aytar &amp; Elinor Brunnberg,Mälardalen University,2015-09-13T19:38:05Z,2025-10-08T10:40:53Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Other,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,18,,repository
10.14279/tuj.eceasst.50.738,2012,JournalArticle,A hybrid approach for multi-view modeling,Electronic Communications of the EASST,2015-11-03T13:09:19Z,2024-04-05T14:36:56Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,tib.tub,Technische Universität Berlin – Universitätsbibliothek,0,0,0,0,,,,,,,,,,6,,repository
10.14279/tuj.eceasst.70.975,2014,JournalArticle,Adaptive Task Automata with Earliest-Deadline-First Scheduling,Electronic Communications of the EASST,2015-11-04T08:15:54Z,2024-04-05T14:33:58Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,tib.tub,Technische Universität Berlin – Universitätsbibliothek,0,0,0,0,,,,,,,,,,6,,repository
10.14279/tuj.eceasst.50.738.747,2012,JournalArticle,A hybrid approach for multi-view modeling,Electronic Communications of the EASST,2015-11-04T08:32:00Z,2024-04-05T14:51:31Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,tib.tub,Technische Universität Berlin – Universitätsbibliothek,0,0,0,0,,,,,,,,,,6,,repository
10.14279/tuj.eceasst.70.975.968,2014,JournalArticle,Adaptive Task Automata with Earliest-Deadline-First Scheduling,Electronic Communications of the EASST,2015-11-04T08:37:49Z,2024-04-05T14:48:07Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,tib.tub,Technische Universität Berlin – Universitätsbibliothek,0,0,0,0,,,,,,,,,,6,,repository
10.2312/egs.20011005,2001,Article,Collision Detection for Continuously Deforming Bodies,Eurographics Association,2015-11-12T10:32:21Z,2020-08-19T21:28:09Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,article,tib.eugraph,Eurographics,0,0,0,0,,,,,,,,,,6,,repository
10.5064/f60z715z,2016,Dataset,Data for “Registered Nurses’ Perceptions of Family Caregivers to Patients with Heart Failure: A Focus Group Interview Study.”,Qualitative Data Repository,2016-05-20T17:56:38Z,2026-04-28T21:29:54Z,0,,1,1,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,gdcc.syr-qdr,Syracuse University Qualitative Data Repository,1,0,732,100,,RESTRICTED,,,,,,,,18,"[""10.1371/journal.pone.0160302""]",repository
10.13140/rg.2.2.11495.44963,2014,Text,Midterm output report - Pilot B in Sweden,Mälardalen University,2016-12-08T06:36:46Z,2025-10-15T17:27:00Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,8,,repository
