doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteResourceType,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireResourceType,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexResourceType,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5061/dryad.7fd7p,2015,Dataset,Data from: Edge influence on vegetation at natural and anthropogenic edges of boreal forests in Canada and Fennoscandia,Dryad,2015-03-23T14:59:44Z,2026-01-26T22:51:46Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,382,52,,OPEN,2,14,,,,,,18,,repository
10.5281/zenodo.60681,2016,Dataset,Raw Measurements For Low Delay Video Streaming On The Internet Of Things Using Raspberry Pi,Zenodo,2016-08-23T08:46:43Z,2020-09-20T20:26:48Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,cern.zenodo,Zenodo,0,0,2,0,,OPEN,0,7,,,https://openalex.org/W2510471554,1,0,15,,repository
10.13140/rg.2.2.16864.89608,2016,Other,Konstgödning: Co-producing Art in the Outskirts of the World,"ETOUR, Mid Sweden University",2016-09-04T10:14:55Z,2025-10-09T14:49:30Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Other,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,9,,repository
10.5061/dryad.218n0,2018,Dataset,Data from: Informative plot sizes in presence-absence sampling of forest floor vegetation,Dryad,2017-01-25T08:10:02Z,2026-01-27T08:28:31Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,219,20,,OPEN,1,3,,,,,,12,,repository
10.5061/dryad.v54v8,2018,Dataset,Data from: A Drosophila female pheromone elicits species-specific long-range attraction via an olfactory channel with dual specificity for sex and food,Dryad,2017-09-12T13:06:21Z,2026-01-27T04:46:17Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,340,32,,OPEN,2,3,,,,,,21,,repository
10.5061/dryad.g2t6204,2019,Dataset,Data from: Impacts of dead-wood manipulation on the biodiversity of temperate and boreal forests - A systematic review,Dryad,2019-03-26T17:43:01Z,2026-01-27T15:48:05Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,270,65,,OPEN,0,2,,,,,,18,,repository
10.21227/nf2s-h782,2019,Dataset,Are1819,IEEE DataPort,2019-07-14T23:00:35Z,2020-07-29T20:37:13Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,ieee.dataport,IEEE DataPort,0,0,0,0,,,,,,,,,,1,,repository
10.21227/e33q-2349,2019,Dataset,Are1819,IEEE DataPort,2019-07-14T23:00:36Z,2020-07-29T20:37:13Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,ieee.dataport,IEEE DataPort,0,0,0,0,,,,,,,,,,1,,repository
10.4232/1.13314,2019,Dataset,European Values Study 2017: Integrated Dataset (EVS 2017),GESIS Data Archive,2019-07-15T13:24:29Z,2025-12-02T11:15:55Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,gesis.gesis,GESIS Data Catalogue,11,0,0,0,,,,,,,,,,8,,repository
10.5061/dryad.nvx0k6dn1,2020,Dataset,Presence-absence sampling for estimating plant density using survey data with variable plot size,Dryad,2019-11-18T17:46:29Z,2026-01-27T19:18:43Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,0,167,18,,OPEN,0,3,,,,,,13,,repository
