doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteResourceType,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireResourceType,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexResourceType,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5061/dryad.1d8761h1,2011,Dataset,Data from: Evolution of stenophagy in spiders (Araneae): evidence based on the comparative analysis of spider diets,Dryad,2011-09-19T15:47:42Z,2026-01-27T02:59:18Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Dataset,dryad.dryad,DRYAD,1,1,299,43,,,,,,,,,,17,,repository
10.5061/dryad.829,2009,Dataset,Data from: Assessing Progress in Systematics with Continuous Jackknife Function Analysis,Dryad,2011-11-22T18:10:00Z,2026-01-27T09:46:11Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Dataset,dryad.dryad,DRYAD,1,1,205,8,,,,,,,,,,11,,repository
10.5061/dryad.8f3bk,2011,Dataset,Data from: Molecular data and ploidal levels indicate several putative allopolyploidization events in the genus Potentilla (Rosaceae),Dryad,2011-11-22T18:35:53Z,2026-01-26T23:46:48Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,270,42,,OPEN,4,2,,,,,,17,,repository
10.5061/dryad.8720,2011,Dataset,Data from: Molecular detection of trophic links in a complex insect host-parasitoid food web,Dryad,2011-11-22T18:45:44Z,2026-01-27T15:29:00Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Dataset,dryad.dryad,DRYAD,1,1,369,44,,,,,,,,,,14,,repository
10.5061/dryad.v1pr721v,2012,Dataset,Data from: Divergence estimates and early evolutionary history of Figitidae (Hymenoptera: Cynipoidea),Dryad,2011-11-30T18:23:43Z,2026-01-27T00:27:31Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Dataset,dryad.dryad,DRYAD,1,1,187,6,,,,,,,,,,12,,repository
10.5061/dryad.1rk18128,2012,Dataset,Data from: Population divergence and gene flow in an endangered and highly mobile seabird,Dryad,2012-01-30T19:50:51Z,2026-01-27T05:55:08Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Dataset,dryad.dryad,DRYAD,1,1,237,31,,,,,,,,,,14,,repository
10.5061/dryad.9gc21,2012,Dataset,Data from: Patterns and controlling factors of species diversity in the Arctic Ocean,Dryad,2012-05-08T20:01:08Z,2026-01-27T10:45:58Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Dataset,dryad.dryad,DRYAD,1,1,423,91,,,,,,,,,,13,,repository
10.5061/dryad.j2r64,2012,Dataset,"Data from: A total-evidence approach to dating with fossils, applied to the early radiation of the Hymenoptera",Dryad,2012-06-28T18:27:53Z,2026-01-27T16:23:56Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,920,398,,OPEN,1,2,,,,,,17,,repository
10.5061/dryad.h6pf365t,2012,Dataset,Data from: Sharing and re-use of phylogenetic trees (and associated data) to facilitate synthesis,Dryad,2012-08-14T20:54:46Z,2026-01-27T00:34:32Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Dataset,dryad.dryad,DRYAD,1,1,701,151,,,,,,,,,,14,,repository
10.1594/pangaea.789039,2012,Dataset,Neodymium measured on water bottle samples during POLARSTERN cruise ARK-XXII/2 (SPACE),PANGAEA,2012-10-24T03:07:34Z,2024-06-26T04:39:55Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,Dataset,pangaea.repository,PANGAEA,0,0,0,0,,,,,,,,,,11,,repository
10.5061/dryad.64835,2012,Dataset,Data from: Pollinator-mediated selection in a specialized hummingbird-Heliconia system in the eastern Caribbean,Dryad,2012-10-24T14:45:49Z,2026-01-27T01:44:19Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Dataset,dryad.dryad,DRYAD,2,1,383,132,,,,,,,,,,13,,repository
10.5061/dryad.n09f3,2012,Dataset,"Data from: The anatomy, taphonomy, taxonomy and systematic affinity of Markuelia: Early Cambrian to Early Ordovician scalidophorans",Dryad,2012-10-30T15:15:41Z,2026-01-27T09:48:40Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,181,9,,OPEN,0,2,,,,,,17,,repository
10.5061/dryad.fn78r,2012,Dataset,Data from: Synchrotron X-ray tomographic microscopy of fossil embryos,Dryad,2012-10-30T15:46:59Z,2026-01-27T09:41:58Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,186,9,,OPEN,0,2,,,,,,9,,repository
10.5061/dryad.f3p75,2012,Dataset,Data from: Arthropod diversity in a tropical forest,Dryad,2012-11-02T17:10:13Z,2026-01-26T22:33:44Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Dataset,dryad.dryad,DRYAD,1,0,416,63,,,,,,,,,,8,,repository
10.5061/dryad.11p01,2013,Dataset,Data from: Using a comprehensive DNA barcode library to detect novel egg and larval host plant associations in a Cephaloleia Rolled-leaf Beetle (Coleoptera: Chrysomelidae),Dryad,2013-04-29T20:56:27Z,2026-01-26T23:44:49Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Dataset,dryad.dryad,DRYAD,1,1,232,39,,,,,,,,,,24,,repository
