doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi
10.5281/zenodo.10768,cern.zenodo,2010,article,PanelCheck,Zenodo,0,1,0,1,0
10.5281/zenodo.22194,cern.zenodo,2015,article,sonic-pi: v2.6.0 - Algorave,Zenodo,0,1,0,1,0
10.5281/zenodo.30819,cern.zenodo,2015,article,sonic-pi: v2.7.0 - Rerezzed,Zenodo,0,1,0,1,0
10.5281/zenodo.34064,cern.zenodo,2015,article,sonic-pi: v2.8.0 - Karlsruhe,Zenodo,0,1,0,1,0
10.5281/zenodo.34066,cern.zenodo,2015,article,sonic-pi: v2.8.0 - Karlsruhe,Zenodo,0,1,0,1,0
10.5281/zenodo.34075,cern.zenodo,2015,article,sonic-pi: v2.8.0 - Karlsruhe,Zenodo,0,1,0,1,0
10.5281/zenodo.44214,cern.zenodo,2015,article,sonic-pi: v2.9.0 - Venster,Zenodo,0,1,0,1,0
10.6092/unibo/amsacta/5691,crui.unibo,2017,dataset,"CATCH-EyoU: Processes in Youth’s Construction of Active EU Citizenship: Cross-national Wave 1 Questionnaires: Italy, Sweden, Germany, Greece, Portugal, Czech Republic, UK, and Estonia – EXTRACT",Alma Mater Studiorum - Università di Bologna,0,0,1,1,0
10.5281/zenodo.892062,cern.zenodo,2017,article-journal,Sketch maps dataset,Zenodo,0,1,0,1,0
10.5281/zenodo.892061,cern.zenodo,2017,article-journal,Sketch maps dataset,Zenodo,0,1,0,0,1
10.5281/zenodo.893154,cern.zenodo,2017,dataset,Novel Radar,Zenodo,0,1,0,1,0
10.5281/zenodo.893153,cern.zenodo,2017,dataset,Novel Radar,Zenodo,0,1,0,0,1
10.5281/zenodo.1299780,cern.zenodo,2018,dataset,Catch Eyou: Wp6 Textbook Analysis Sweden - Offshoot,Zenodo,0,1,0,1,0
10.5281/zenodo.1299779,cern.zenodo,2018,dataset,Catch Eyou: Wp6 Textbook Analysis Sweden - Offshoot,Zenodo,0,1,0,0,1
10.5281/zenodo.1312604,cern.zenodo,2017,dataset,"Catch-Eyou: Processes In Youth'S Construction Of Active Eu Citizenship: Cross-National Wave 1 Questionnaires: Italy, Sweden, Germany, Greece, Portugal, Czech Republic, Uk, And Estonia – Extract_Political Passivity",Zenodo,0,1,0,0,1
10.5281/zenodo.1312605,cern.zenodo,2017,dataset,"Catch-Eyou: Processes In Youth'S Construction Of Active Eu Citizenship: Cross-National Wave 1 Questionnaires: Italy, Sweden, Germany, Greece, Portugal, Czech Republic, Uk, And Estonia – Extract_Political Passivity",Zenodo,0,1,0,1,0
10.5281/zenodo.1313611,cern.zenodo,2018,dataset,Catch-Eyou: Processes In Youth'S Construction Of Active Eu Citizenship: Cross-National Pilot Questionnaires,Zenodo,0,1,0,1,0
10.5281/zenodo.1313610,cern.zenodo,2018,dataset,Catch-Eyou: Processes In Youth'S Construction Of Active Eu Citizenship: Cross-National Pilot Questionnaires,Zenodo,0,1,0,0,1
10.5281/zenodo.1313625,cern.zenodo,2018,dataset,"Catch-Eyou: Processes In Youth'S Construction Of Active Eu Citizenship: Cross-National Wave 1 Questionnaires: Italy, Sweden, Germany, Greece, Portugal, Czech Republic, Uk, And Estonia",Zenodo,0,1,0,1,0
10.5281/zenodo.1313624,cern.zenodo,2018,dataset,"Catch-Eyou: Processes In Youth'S Construction Of Active Eu Citizenship: Cross-National Wave 1 Questionnaires: Italy, Sweden, Germany, Greece, Portugal, Czech Republic, Uk, And Estonia",Zenodo,0,1,0,0,1
10.5281/zenodo.1313641,cern.zenodo,2018,dataset,Catch-Eyou: Processes In Youth'S Construction Of Active Eu Citizenship: Cross-National Wave 2 Questionnaires,Zenodo,0,1,0,1,0
10.5281/zenodo.1313640,cern.zenodo,2018,dataset,Catch-Eyou: Processes In Youth'S Construction Of Active Eu Citizenship: Cross-National Wave 2 Questionnaires,Zenodo,0,1,0,0,1
10.5281/zenodo.1313646,cern.zenodo,2018,dataset,Catch-Eyou: Processes In Youth'S Construction Of Active Eu Citizenship: Cross-National Longitudinal (Wave 1 And 2) Questionnaires,Zenodo,0,1,0,1,0
10.5281/zenodo.1313645,cern.zenodo,2018,dataset,Catch-Eyou: Processes In Youth'S Construction Of Active Eu Citizenship: Cross-National Longitudinal (Wave 1 And 2) Questionnaires,Zenodo,0,1,0,0,1
10.3886/icpsr37137,gesis.icpsr,2018,dataset,"Processes Influencing Democratic Ownership and Participation (PIDOP) in nine European Countries, 2009-2012",ICPSR - Interuniversity Consortium for Political and Social Research,0,1,0,1,0
