doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteResourceType,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireResourceType,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexResourceType,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5281/zenodo.1306011,2018,Image,Raw Data_O4C_Ksd Hackathon 1_Evaluation_Anonymised,Zenodo,2018-07-10T06:27:35Z,2020-09-20T03:18:38Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Image,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,4,,repository
10.5281/zenodo.1306010,2018,Image,Raw Data_O4C_Ksd Hackathon 1_Evaluation_Anonymised,Zenodo,2018-07-10T06:27:36Z,2020-09-20T03:18:38Z,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,Image,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,4,,repository
10.13140/rg.2.2.11147.13602,2019,Text,Aesthetically pleasing PV modules for the Built Environment,RISE Research Institutes of Sweden,2019-02-12T10:39:18Z,2025-10-17T16:00:52Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,8,,repository
10.13140/rg.2.2.31174.93765,2017,Text,Kvalitet hos byggnadsmaterial i cirkulära flöden,RISE Research Institutes of Sweden,2019-02-12T13:04:05Z,2025-10-17T13:12:42Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,6,,repository
10.13140/rg.2.2.23295.05280,2019,Text,Environmental impact of textile fibres – what we know and what we don’t know. Fiber Bible part 2.,RISE Research Institutes of Sweden,2019-03-25T10:35:20Z,2025-10-17T16:47:00Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,18,,repository
10.13140/rg.2.2.11406.82248,2019,Text,SAMHÄLLSBYGGNAD ENERGI OCH CIRKULÄR EKONOMI Bright Communication: Belysningskommunikation med fokus på perception och energi Bright Communication: Belysningskommunikation med fokus på perception och energi Abstract ....................................................................................................... 1 Innehåll ...................................................................................................... 2,RISE Research Institutes of Sweden,2019-03-26T21:40:34Z,2025-10-17T15:23:49Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,29,,repository
10.5281/zenodo.2616400,2018,Text,Building Energy System: From System Planning to Operation,Zenodo,2019-03-29T13:02:03Z,2020-07-29T07:03:04Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,8,,repository
10.5281/zenodo.2616399,2018,Text,Building Energy System: From System Planning to Operation,Zenodo,2019-03-29T13:02:05Z,2020-07-29T07:03:04Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,8,,repository
10.5281/zenodo.2630649,2017,Text,Grid-connected micro-grids with energy storage for peak shaving,Zenodo,2019-04-05T17:02:07Z,2020-07-29T07:34:10Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,8,,repository
10.5281/zenodo.2630648,2017,Text,Grid-connected micro-grids with energy storage for peak shaving,Zenodo,2019-04-05T17:02:09Z,2020-07-29T07:34:10Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,8,,repository
10.13140/rg.2.2.19092.55681,2019,Text,"The Nordic Mobility Innovation Platform: A roadmap for seamless, multimodal, sustainable transportation within and among the Nordic countries",RISE Research Institutes of Sweden,2019-04-09T09:29:25Z,2025-10-17T10:17:33Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,18,,repository
10.5281/zenodo.3243449,2019,Text,Comparison of PD Calibration Capabilities in Four National Metrology Institutes Down to 0.1 pC,Zenodo,2019-06-11T14:46:26Z,2020-07-29T15:36:52Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,14,,repository
10.5281/zenodo.3243448,2019,Text,Comparison of PD Calibration Capabilities in Four National Metrology Institutes Down to 0.1 pC,Zenodo,2019-06-11T14:46:27Z,2020-07-29T15:36:52Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,14,,repository
10.23699/k40z-m473,2019,Text,"NFSD Nordic Fire & Safety Days: Book of abstracts from the NFSD Nordic Fire & Safety Days 20-21 August 2019 in Copenhagen, Denmark",RISE Research Institutes of Sweden,2019-07-11T10:36:27Z,2020-07-23T17:48:07Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,snd.rise,Research Institutes of Sweden,0,0,0,0,,,,,,,,,,23,,repository
