doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5061/dryad.504636cd,2012,Dataset,Data from: First dating of a recombination event in mammalian tick-borne flaviviruses,Dryad,2012-01-26T16:14:49Z,2026-01-27T16:28:20Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,498,133,OPEN,0,2,,,,,12,,repository
10.5878/000373,2002,Dataset,Democracy and Social Transition in the Baltic Sea Region - Estonia 1999,Södertörns högskola,2013-12-17T19:33:28Z,2025-09-22T10:30:08Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,12,,repository
10.5878/000486,2011,Dataset,The Comparative Parliamentary Democracy Data Archive,Södertörns högskola,2013-12-17T19:35:24Z,2025-09-22T10:30:22Z,1,,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,snd.snd,Swedish National Data Service,0,0,0,0,,,,,,,,6,,repository
10.13140/2.1.2851.3927,2011,Other,Towards responsible procurement in relation to chemical risks in textiles? Findings from an interview study.,Södertörn University,2014-07-04T12:41:33Z,2025-09-30T19:23:54Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,15,,repository
10.5878/002571,2011,Dataset,The Comparative Parliamentary Democracy Data Archive,Södertörns högskola,2015-01-14T00:01:44Z,2025-09-22T09:25:54Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,snd.snd,Swedish National Data Service,0,0,0,0,,,,,,,,6,,repository
10.13140/rg.2.1.2455.9525,2015,Other,Coping and adaptation in socio-ecological problem structures: Towards an integrated framework for analyzing trans-boundary environmental problems in marine settings,Södertörn University,2015-05-26T09:20:16Z,2025-10-07T15:29:27Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,19,,repository
10.4232/1.12266,2015,Dataset,Kinship and Social Security (KASS),GESIS Data Archive,2015-08-13T09:56:41Z,2025-12-02T11:12:54Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,1,,,gesis.gesis,GESIS Data Catalogue,0,0,0,0,,,,,,,,5,,repository
10.13140/rg.2.1.1740.8728,2015,Other,"ENVIRONMENTAL GOVERNANCE IN AN INCREASINGLY COMPLEX WORLD: An Interdisciplinary Exchange on Adaptation, Collaborative Learning and Knowledge Integration",Södertörn University,2015-10-14T08:54:09Z,2025-10-08T11:29:18Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,17,,repository
10.13140/rg.2.1.2066.0562,2015,Other,Social competitive intelligence: Socio-technical themes and values for the networking organization,Södertörn university,2015-11-26T10:07:33Z,2025-10-08T12:36:03Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,11,,repository
10.13140/rg.2.1.3647.8801,2002,Text,Cooperation or Competition? A Juxtaposition of Research Problems Regarding Security in the Baltic Sea Region.,Södertörns högskola,2015-12-15T01:30:32Z,2025-10-08T13:07:24Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,15,,repository
10.13140/rg.2.1.3721.8961,2016,Other,CoCI: Collaborative support of social competitive intelligence,Södertörn university,2016-03-10T11:05:44Z,2025-10-09T10:32:02Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,7,,repository
10.5281/zenodo.819711,2017,Text,Södertörn University Publications,Zenodo,2017-06-27T08:48:38Z,2020-09-18T21:13:31Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,1,0,,,,,,,,3,,repository
10.5281/zenodo.819710,2017,Text,Södertörn University Publications,Zenodo,2017-06-27T08:48:39Z,2020-09-18T21:13:31Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,3,,repository
10.15463/ie1418.11316,2018,Text,Making Sense of the War (Sweden),BSB - Bavarian State Library,2018-11-17T04:41:05Z,2020-12-18T20:24:59Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,wwpx.bsb,Bayerische Staatsbibliothek,0,0,0,0,,,,,,,,6,,repository
10.17613/7csv-7x21,2018,JournalArticle,Häxprocesser och minneskultur,unknown,2018-12-11T10:00:29Z,2024-11-18T21:58:12Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,msu.core,Knowledge Commons Works,0,0,0,0,,,,,,,,3,,repository
10.15463/ie1418.11342,2019,Text,Domestic Politics and Neutrality (Sweden),BSB - Bavarian State Library,2019-02-27T04:53:43Z,2020-12-18T20:25:41Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,wwpx.bsb,Bayerische Staatsbibliothek,0,0,0,0,,,,,,,,5,,repository
10.5878/maj6-fh02,2002,Dataset,Democracy and Social Transition in the Baltic Sea Region - Estonia 1999,Södertörns högskola,2019-05-14T01:30:33Z,2025-09-22T09:31:11Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,12,,repository
10.5878/8t77-xy25,2002,Dataset,Democracy and Social Transition in the Baltic Sea Region - Latvia 1999,Södertörns högskola,2019-05-14T01:30:34Z,2025-09-22T09:30:44Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,12,,repository
10.5878/bs9p-pv69,2002,Dataset,Democracy and Social Transition in the Baltic Sea Region - Lithuania 1999,Södertörns högskola,2019-05-14T01:30:34Z,2025-09-22T08:40:55Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,https://openalex.org/W3004799676,0,0,12,,repository
10.5878/9eee-nv74,2011,Dataset,Democracy and Social Transition in the Baltic Sea Region - Estonia 2001,Södertörns högskola,2019-05-14T01:30:35Z,2025-09-22T09:31:28Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,12,,repository
10.5878/cs6k-5d36,2011,Dataset,Democracy and Social Transition in the Baltic Sea Region - Lithuania 2001,Södertörns högskola,2019-05-14T01:30:36Z,2025-09-22T09:31:09Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,12,,repository
10.5878/f19n-0y74,2011,Dataset,Democracy and Social Transition in the Baltic Sea Region - Latvia 2001,Södertörns högskola,2019-05-14T01:30:36Z,2025-09-22T09:25:14Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,12,,repository
10.5878/9ff6-ha95,2011,Dataset,Democracy and Social Transition in the Baltic Sea Region - Poland 2001,Södertörns högskola,2019-05-14T01:30:37Z,2025-09-22T09:31:31Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,0,0,0,0,RESTRICTED,,,,,,,12,,repository
10.5281/zenodo.3572351,2019,Text,"Editorial Special Issue on Arts-Based Research - Arts-Based Research in European Arts Education: Philosophical, ontological and epistemological introductions",Zenodo,2019-12-12T14:30:06Z,2020-07-30T10:46:24Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,1,0,,,,,,,,18,,repository
10.5281/zenodo.3572350,2019,Text,"Editorial Special Issue on Arts-Based Research - Arts-Based Research in European Arts Education: Philosophical, ontological and epistemological introductions",Zenodo,2019-12-12T14:30:07Z,2020-07-30T10:46:24Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,18,,repository
10.5061/dryad.gtht76hh9,2020,Dataset,Plant response to habitat amount and configuration in Swedish forests,Dryad,2020-01-13T18:55:40Z,2026-01-27T20:58:56Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,0,130,24,OPEN,4,4,,,,,10,,repository
10.15463/ie1418.11452,2020,Text,Centenary (Ukraine),BSB - Bavarian State Library,2020-03-10T12:45:15Z,2020-12-18T20:26:57Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,wwpx.bsb,Bayerische Staatsbibliothek,0,0,0,0,,,,,,,,2,,repository
10.6084/m9.figshare.12082428,2020,JournalArticle,Additional file 1 of Income and food Engel curves in Rwanda: a household microdata analysis,figshare,2020-04-04T04:02:21Z,2026-03-10T08:42:43Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,1,0,0,,,,,,,,15,"[""10.1186/s40100-020-00154-4""]",repository
10.6084/m9.figshare.12082428.v1,2020,JournalArticle,Additional file 1 of Income and food Engel curves in Rwanda: a household microdata analysis,figshare,2020-04-04T04:02:21Z,2026-03-10T08:42:44Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,1,0,0,,,,,,,,15,"[""10.1186/s40100-020-00154-4""]",repository
