doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.6084/m9.figshare.11998413,2020,JournalArticle,Additional file 1 of Increasing preparedness for caregiving and death in family caregivers of patients with severe illness who are cared for at home – study protocol for a web-based intervention,figshare,2020-03-18T04:45:19Z,2026-03-10T10:08:30Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,1,0,0,,,,,,,,31,"[""10.1186/s12904-020-0530-6""]",repository
10.6084/m9.figshare.11998413.v1,2020,JournalArticle,Additional file 1 of Increasing preparedness for caregiving and death in family caregivers of patients with severe illness who are cared for at home – study protocol for a web-based intervention,figshare,2020-03-18T04:45:19Z,2026-03-10T10:08:31Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,1,0,0,,,,,,,,31,"[""10.1186/s12904-020-0530-6""]",repository
10.6084/m9.figshare.12127467,2020,JournalArticle,Additional file 1 of Longer shared parental leave is associated with longer duration of breastfeeding: a cross-sectional study among Swedish mothers and their partners,figshare,2020-04-15T03:23:32Z,2026-03-10T08:05:51Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,1,0,0,,,,,,,,24,"[""10.1186/s12887-020-02065-1""]",repository
10.6084/m9.figshare.12127467.v1,2020,JournalArticle,Additional file 1 of Longer shared parental leave is associated with longer duration of breastfeeding: a cross-sectional study among Swedish mothers and their partners,figshare,2020-04-15T03:23:32Z,2026-03-10T08:05:52Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,1,0,0,,,,,,,,24,"[""10.1186/s12887-020-02065-1""]",repository
10.6084/m9.figshare.12421952,2020,JournalArticle,Additional file 1 of No one accelerometer-based physical activity data collection protocol can fit all research questions,figshare,2020-06-04T04:06:11Z,2026-03-09T18:55:17Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,1,0,0,,,,,,,,17,"[""10.1186/s12874-020-01026-7""]",repository
10.6084/m9.figshare.12421952.v1,2020,JournalArticle,Additional file 1 of No one accelerometer-based physical activity data collection protocol can fit all research questions,figshare,2020-06-04T04:06:11Z,2026-03-09T18:55:18Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,1,0,0,,,,,,,,17,"[""10.1186/s12874-020-01026-7""]",repository
10.6084/m9.figshare.13031504,2020,JournalArticle,Additional file 1 of A decrease in cesarean sections and labor inductions among Swedish women by awareness of fetal movements with the Mindfetalness method,figshare,2020-10-01T04:09:51Z,2026-03-08T14:13:34Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,24,"[""10.1186/s12884-020-03268-1""]",repository
10.6084/m9.figshare.13031504.v1,2020,JournalArticle,Additional file 1 of A decrease in cesarean sections and labor inductions among Swedish women by awareness of fetal movements with the Mindfetalness method,figshare,2020-10-01T04:09:59Z,2026-03-08T14:13:35Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,24,"[""10.1186/s12884-020-03268-1""]",repository
10.6084/m9.figshare.14782830.v1,2021,JournalArticle,Additional file 3 of Quality of web-based information at the beginning of a global pandemic: a cross-sectional infodemiology study investigating preventive measures and self care methods of the coronavirus disease 2019,figshare,2021-06-15T04:18:10Z,2026-03-06T14:29:49Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,31,"[""10.1186/s12889-021-11141-9""]",repository
10.6084/m9.figshare.14782824.v1,2021,JournalArticle,Additional file 2 of Quality of web-based information at the beginning of a global pandemic: a cross-sectional infodemiology study investigating preventive measures and self care methods of the coronavirus disease 2019,figshare,2021-06-15T04:18:25Z,2026-03-06T14:29:52Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,31,"[""10.1186/s12889-021-11141-9""]",repository
10.6084/m9.figshare.14782821.v1,2021,JournalArticle,Additional file 1 of Quality of web-based information at the beginning of a global pandemic: a cross-sectional infodemiology study investigating preventive measures and self care methods of the coronavirus disease 2019,figshare,2021-06-15T04:18:29Z,2026-03-06T14:29:54Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,31,"[""10.1186/s12889-021-11141-9""]",repository
10.6084/m9.figshare.14782830,2021,JournalArticle,Additional file 3 of Quality of web-based information at the beginning of a global pandemic: a cross-sectional infodemiology study investigating preventive measures and self care methods of the coronavirus disease 2019,figshare,2021-06-15T04:38:10Z,2026-03-06T14:29:48Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,31,"[""10.1186/s12889-021-11141-9""]",repository
10.6084/m9.figshare.14782824,2021,JournalArticle,Additional file 2 of Quality of web-based information at the beginning of a global pandemic: a cross-sectional infodemiology study investigating preventive measures and self care methods of the coronavirus disease 2019,figshare,2021-06-15T04:38:22Z,2026-03-06T14:29:51Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,31,"[""10.1186/s12889-021-11141-9""]",repository
10.6084/m9.figshare.14782821,2021,JournalArticle,Additional file 1 of Quality of web-based information at the beginning of a global pandemic: a cross-sectional infodemiology study investigating preventive measures and self care methods of the coronavirus disease 2019,figshare,2021-06-15T04:38:26Z,2026-03-06T14:29:53Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,31,"[""10.1186/s12889-021-11141-9""]",repository
10.6084/m9.figshare.14826079.v1,2021,JournalArticle,Additional file 1 of Process evaluation of the Sophia Step Study- a primary care based three-armed randomized controlled trial using self-monitoring of steps with and without counseling in prediabetes and type 2 diabetes,figshare,2021-06-23T04:20:10Z,2026-03-06T13:49:53Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,33,"[""10.1186/s12889-021-11222-9""]",repository
10.6084/m9.figshare.14826079,2021,JournalArticle,Additional file 1 of Process evaluation of the Sophia Step Study- a primary care based three-armed randomized controlled trial using self-monitoring of steps with and without counseling in prediabetes and type 2 diabetes,figshare,2021-06-23T04:34:00Z,2026-03-06T13:49:52Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,33,"[""10.1186/s12889-021-11222-9""]",repository
10.6084/m9.figshare.16590465,2021,JournalArticle,Additional file 1 of Effects of a three-armed randomised controlled trial using self-monitoring of daily steps with and without counselling in prediabetes and type 2 diabetes—the Sophia Step Study,figshare,2021-09-09T03:34:47Z,2026-03-05T20:17:31Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,29,"[""10.1186/s12966-021-01193-w""]",repository
10.6084/m9.figshare.16590465.v1,2021,JournalArticle,Additional file 1 of Effects of a three-armed randomised controlled trial using self-monitoring of daily steps with and without counselling in prediabetes and type 2 diabetes—the Sophia Step Study,figshare,2021-09-09T03:34:48Z,2026-03-05T20:17:32Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,29,"[""10.1186/s12966-021-01193-w""]",repository
10.6084/m9.figshare.16590468,2021,JournalArticle,Additional file 2 of Effects of a three-armed randomised controlled trial using self-monitoring of daily steps with and without counselling in prediabetes and type 2 diabetes—the Sophia Step Study,figshare,2021-09-09T03:34:56Z,2026-03-05T20:17:28Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,29,"[""10.1186/s12966-021-01193-w""]",repository
10.6084/m9.figshare.16590468.v1,2021,JournalArticle,Additional file 2 of Effects of a three-armed randomised controlled trial using self-monitoring of daily steps with and without counselling in prediabetes and type 2 diabetes—the Sophia Step Study,figshare,2021-09-09T03:34:56Z,2026-03-05T20:17:29Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,29,"[""10.1186/s12966-021-01193-w""]",repository
10.6084/m9.figshare.16590474,2021,JournalArticle,Additional file 3 of Effects of a three-armed randomised controlled trial using self-monitoring of daily steps with and without counselling in prediabetes and type 2 diabetes—the Sophia Step Study,figshare,2021-09-09T03:35:07Z,2026-03-05T20:17:26Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,29,"[""10.1186/s12966-021-01193-w""]",repository
10.6084/m9.figshare.16590474.v1,2021,JournalArticle,Additional file 3 of Effects of a three-armed randomised controlled trial using self-monitoring of daily steps with and without counselling in prediabetes and type 2 diabetes—the Sophia Step Study,figshare,2021-09-09T03:35:09Z,2026-03-05T20:17:27Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,29,"[""10.1186/s12966-021-01193-w""]",repository
10.6084/m9.figshare.16590477,2021,JournalArticle,Additional file 4 of Effects of a three-armed randomised controlled trial using self-monitoring of daily steps with and without counselling in prediabetes and type 2 diabetes—the Sophia Step Study,figshare,2021-09-09T03:35:09Z,2026-03-05T20:17:24Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,29,"[""10.1186/s12966-021-01193-w""]",repository
10.6084/m9.figshare.16590477.v1,2021,JournalArticle,Additional file 4 of Effects of a three-armed randomised controlled trial using self-monitoring of daily steps with and without counselling in prediabetes and type 2 diabetes—the Sophia Step Study,figshare,2021-09-09T03:35:09Z,2026-03-05T20:17:25Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,29,"[""10.1186/s12966-021-01193-w""]",repository
10.6084/m9.figshare.16590480,2021,JournalArticle,Additional file 5 of Effects of a three-armed randomised controlled trial using self-monitoring of daily steps with and without counselling in prediabetes and type 2 diabetes—the Sophia Step Study,figshare,2021-09-09T03:35:12Z,2026-03-05T20:17:20Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,29,"[""10.1186/s12966-021-01193-w""]",repository
10.6084/m9.figshare.16590480.v1,2021,JournalArticle,Additional file 5 of Effects of a three-armed randomised controlled trial using self-monitoring of daily steps with and without counselling in prediabetes and type 2 diabetes—the Sophia Step Study,figshare,2021-09-09T03:35:14Z,2026-03-05T20:17:21Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,29,"[""10.1186/s12966-021-01193-w""]",repository
10.6084/m9.figshare.16590483,2021,JournalArticle,Additional file 6 of Effects of a three-armed randomised controlled trial using self-monitoring of daily steps with and without counselling in prediabetes and type 2 diabetes—the Sophia Step Study,figshare,2021-09-09T03:35:23Z,2026-03-05T20:17:18Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,29,"[""10.1186/s12966-021-01193-w""]",repository
10.6084/m9.figshare.16590483.v1,2021,JournalArticle,Additional file 6 of Effects of a three-armed randomised controlled trial using self-monitoring of daily steps with and without counselling in prediabetes and type 2 diabetes—the Sophia Step Study,figshare,2021-09-09T03:35:23Z,2026-03-05T20:17:19Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,0,0,0,,,,,,,,29,"[""10.1186/s12966-021-01193-w""]",repository
