doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5061/dryad.gg610,2011,Dataset,Data from: Limited emigration from an outbreak of a forest pest insect,Dryad,2011-08-24T16:22:16Z,2026-01-27T04:19:35Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,179,17,OPEN,2,2,,,,,12,,repository
10.5061/dryad.td03p886,2014,Dataset,Data from: Phylogenetic conservatism in plant phenology,Dryad,2012-02-21T19:24:55Z,2026-01-27T16:28:52Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,283,43,OPEN,0,2,,,,,7,,repository
10.5061/dryad.7qr3f154,2012,Dataset,"Data from: Evolution of critical day length for diapause induction enables range expansion of Diorhabda carinulata, a biological control agent against tamarisk (Tamarix spp.)",Dryad,2012-03-07T18:50:53Z,2026-01-27T07:38:19Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,173,15,OPEN,0,3,,,,,24,,repository
10.5061/dryad.f7dm5v5j,2012,Dataset,Data from: Strong divergence in trait means but not in plasticity across hatchery and wild populations of sea-run brown trout Salmo trutta,Dryad,2012-03-20T19:43:11Z,2026-01-27T16:29:58Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,228,40,OPEN,0,3,,,,,22,,repository
10.5061/dryad.5k3t47p0,2012,Dataset,Data from: The Paleozoic origin of enzymatic lignin decomposition reconstructed from 31 fungal genomes,Dryad,2012-04-09T16:04:29Z,2026-01-27T16:30:12Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,726,158,OPEN,1,2,,,,,14,,repository
10.5061/dryad.82201,2012,Dataset,Data from: Disentangling the roles of history and local selection in shaping clinal variation of allele frequencies and gene expression in Norway spruce (Picea abies),Dryad,2012-04-25T17:12:41Z,2026-01-26T23:05:56Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,3,2,316,34,OPEN,8,2,,,,,25,,repository
10.5061/dryad.3nh92,2012,Dataset,Data from: Browsed twig environmental DNA: diagnostic PCR to identify ungulate species,Dryad,2012-06-21T16:45:04Z,2026-01-27T10:15:00Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,167,10,OPEN,0,4,,,,,12,,repository
10.5061/dryad.p4356,2012,Dataset,Data from: Selection on variance-controlling genes – adaptability or stability,Dryad,2012-07-24T17:55:38Z,2026-01-27T16:33:02Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,190,33,OPEN,0,2,,,,,10,,repository
10.5061/dryad.37mm8,2012,Dataset,Data from: Retracing the routes of introduction of invasive species: the case of the Sirex noctilio woodwasp.,Dryad,2012-09-14T19:18:36Z,2026-01-27T01:59:53Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,227,14,OPEN,0,11,,,,,17,,repository
10.5061/dryad.88h10,2013,Dataset,Data from: The HypoMethylated Partial Restriction (HMPR) method reduces the repetitive content of genomic libraries in Norway spruce (Picea abies),Dryad,2012-09-21T17:20:53Z,2026-01-27T14:23:55Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,361,126,OPEN,12,2,,,,,20,,repository
10.5061/dryad.ds2gp,2012,Dataset,"Data from: Sequencing of the needle transcriptome from Norway spruce (Picea abies Karst L.) reveals lower substitution rates, but similar selective constraints in gymnosperms and angiosperms",Dryad,2012-09-21T19:28:42Z,2026-01-27T14:23:58Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,274,39,OPEN,2,5,,,,,26,,repository
10.5063/aa/nceas.100.1,2004,Dataset,Biomass and growth of 20-year-old stands of Scots pine,KNB Data Repository,2012-11-06T01:05:12Z,2020-06-29T06:53:32Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,cdl.ucsb,UC Santa Barbara,0,0,1,0,,,,,,,,9,,repository
