doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5061/dryad.12g3c7ht,2011,Dataset,Data from: Pervasive genetic integration directs the evolution of human skull shape,Dryad,2011-10-20T16:31:31Z,2026-01-26T22:11:51Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,4,1,253,22,OPEN,6,7,,,,,12,,repository
10.5061/dryad.8f3bk,2011,Dataset,Data from: Molecular data and ploidal levels indicate several putative allopolyploidization events in the genus Potentilla (Rosaceae),Dryad,2011-11-22T18:35:53Z,2026-01-26T23:46:48Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,262,40,OPEN,4,2,,,,,17,,repository
10.5061/dryad.504636cd,2012,Dataset,Data from: First dating of a recombination event in mammalian tick-borne flaviviruses,Dryad,2012-01-26T16:14:49Z,2026-01-27T16:28:20Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,498,133,OPEN,0,2,,,,,12,,repository
10.5061/dryad.7nn6p,2012,Dataset,Data from: The evolution of alternative developmental pathways: footprints of selection on life-history traits in a butterfly,Dryad,2012-04-20T16:19:52Z,2026-01-27T06:03:28Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,197,13,OPEN,3,2,,,,,17,,repository
10.5061/dryad.189f4,2012,Dataset,"Data from: Genetic monitoring reveals temporal stability over 30 years in a small, lake resident brown trout population",Dryad,2012-06-05T20:06:12Z,2026-01-27T00:43:22Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,186,11,OPEN,1,2,,,,,18,,repository
10.5879/ecds/00000001,2018,Dataset,Archived data from Northern Circumpolar Soil Carbon Database,Stockholm University,2012-06-26T14:10:04Z,2025-09-22T08:55:07Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,snd.snd,Swedish National Data Service,0,0,0,0,,,,,,,,8,,repository
10.5063/aa/nceas.890.1,2008,Dataset,Sallies Fen NH CH4 Flux 1994-2001,KNB Data Repository,2012-11-06T01:39:33Z,2020-06-29T06:54:19Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,cdl.ucsb,UC Santa Barbara,0,0,2,0,,0,113,,,,,6,,repository
10.5063/aa/nceas.890.2,2008,Dataset,Sallies Fen NH CH4 Flux 1994-2001,KNB Data Repository,2012-11-06T01:39:37Z,2020-06-29T06:54:19Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,cdl.ucsb,UC Santa Barbara,0,0,3,0,,0,113,,,,,6,,repository
10.5063/aa/nceas.890.3,2008,Dataset,Sallies Fen NH CH4 Flux 1994-2001,KNB Data Repository,2012-11-06T01:39:41Z,2020-06-29T06:54:19Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,cdl.ucsb,UC Santa Barbara,0,0,20,1,,0,113,,,,,6,,repository
10.5063/aa/nceas.890.4,2008,Dataset,Sallies Fen NH CH4 Flux 1994-2001,KNB Data Repository,2012-11-06T01:39:45Z,2020-06-29T06:54:19Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,cdl.ucsb,UC Santa Barbara,0,0,419,99,,0,113,,,,,6,,repository
10.5061/dryad.c170h,2012,Dataset,"Data from: Heterospecific courtship, minority effects and niche separation between cryptic butterfly species.",Dryad,2012-12-20T16:01:36Z,2026-01-27T10:11:59Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,166,9,OPEN,1,1,,,,,13,,repository
10.5879/ecds/00000002,2013,Dataset,Northern Circumpolar Soil Carbon Database 2,Stockholm University; Bert Bolin Centre for Climate Research,2013-03-26T08:38:36Z,2025-02-04T08:55:31Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,snd.snd,Swedish National Data Service,3,0,0,0,,,,,,,,6,,repository
10.5061/dryad.d9p7h,2013,Dataset,Data from: Estimation of effective population size in continuously distributed populations: there goes the neighborhood,Dryad,2013-04-01T20:00:52Z,2026-01-26T20:38:05Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,170,7,OPEN,0,2,,,,,15,,repository
10.5061/dryad.v17q6,2013,Dataset,Data from: Parallel speciation or long-distance dispersal? Lessons from seaweeds (Fucus) in the Baltic Sea,Dryad,2013-04-12T15:52:51Z,2026-01-27T06:58:01Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,151,8,OPEN,2,7,,,,,15,,repository
10.5061/dryad.s4s2b,2013,Dataset,Data from: Transgenerational effects and the cost of ant tending in aphids,Dryad,2013-04-15T16:28:41Z,2026-01-27T06:05:07Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,246,40,OPEN,9,9,,,,,12,,repository
