doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5061/dryad.5nm5g,2014,Dataset,"Data from: Re-visiting the phylogeography and demography of European badgers (Meles meles) based on broad sampling, multiple markers and simulations",Dryad,2014-03-19T13:55:56Z,2025-12-05T23:14:59Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,410,40,,0,2,,,,,20,,repository
10.13140/2.1.3032.2241,2009,Other,Assessment of the nutritional condition of domestic and wild animals post mortem (Postmortal bedömning av hull hos tamdjur och vilda djur),"National Veterinary Institute, Sweden, Department of Pathology and Wildlife Diseases, Sweden",2014-12-05T13:18:10Z,2025-10-02T14:18:04Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,21,,repository
10.5061/dryad.kc097,2017,Dataset,Data from: Identification of combinatorial host-specific signatures with a potential to affect host adaptation in influenza A H1N1 and H3N2 subtypes,Dryad,2016-06-24T19:33:15Z,2025-12-06T08:28:51Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,1,269,17,,0,2,,,,,21,,repository
10.5281/zenodo.818287,2013,Text,Seroprevalence Of Marek'S Disease Virus Antibody In Chickens From Three Zones Of Nigeria,Zenodo,2017-06-26T10:22:13Z,2020-09-18T21:13:25Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,13,,repository
10.5281/zenodo.818286,2013,Text,Seroprevalence Of Marek'S Disease Virus Antibody In Chickens From Three Zones Of Nigeria,Zenodo,2017-06-26T10:22:14Z,2020-09-18T21:13:25Z,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,13,,repository
10.5281/zenodo.818269,2006,Text,An Assessment Of The Risk That Em Is Introduced With Dogs Entering Sweden From Other Eu Countries Without And With Anithelmintic Treatments,Zenodo,2017-06-28T14:18:23Z,2020-09-18T21:17:03Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,22,,repository
10.5281/zenodo.818268,2006,Text,An Assessment Of The Risk That Em Is Introduced With Dogs Entering Sweden From Other Eu Countries Without And With Anithelmintic Treatments,Zenodo,2017-06-28T14:18:24Z,2020-09-18T21:17:03Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,22,,repository
10.5281/zenodo.818261,2007,Text,Risk Assessment For Turberculosis In Deer Imported To Sweden,Zenodo,2017-06-28T14:18:35Z,2020-09-18T21:17:05Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,9,,repository
10.5281/zenodo.818262,2007,Text,Risk Assessment For Turberculosis In Deer Imported To Sweden,Zenodo,2017-06-28T14:18:35Z,2020-09-18T21:17:05Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,9,,repository
10.5281/zenodo.1146567,2018,Dataset,The list of QPS status recommended biological agents for safety risk assessments carried out by EFSA,Zenodo,2018-01-12T19:54:49Z,2025-05-02T13:03:34Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,2,4,0,,,,,,,,16,,repository
10.5281/zenodo.1146713,2018,Dataset,The list of QPS status recommended biological agents for safety risk assessments carried out by EFSA,Zenodo,2018-01-12T20:02:49Z,2025-05-02T13:03:34Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,2,0,0,,,,,,,,16,,repository
10.5281/zenodo.1117639,2018,Software,"Time series analysis (TSA) of human invasive listeriosis trends, 2008–2015",Zenodo,2018-01-23T16:41:26Z,2023-04-25T23:39:53Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,1,0,0,,,,,,,,10,10.2903/j.efsa.2018.5134,repository
10.5281/zenodo.1117638,2018,Software,"Time series analysis (TSA) of human invasive listeriosis trends, 2008–2015",Zenodo,2018-01-23T16:41:27Z,2023-04-25T23:39:54Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,1,0,0,,,,,,,,10,10.2903/j.efsa.2018.5134,repository
10.5281/zenodo.1117742,2018,Software,Listeria monocytogenes generic Quantitative Microbiological Risk Assessment (gQMRA) model,Zenodo,2018-01-23T16:57:11Z,2023-04-25T16:54:31Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,2,0,0,,,,,,,,9,10.2903/j.efsa.2018.5134,repository
10.5281/zenodo.1117741,2018,Software,Listeria monocytogenes generic Quantitative Microbiological Risk Assessment (gQMRA) model,Zenodo,2018-01-23T16:57:12Z,2023-04-25T16:54:31Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,2,0,0,,,,,,,,9,10.2903/j.efsa.2018.5134,repository
10.5281/zenodo.1158647,2018,Dataset,The list of QPS status recommended biological agents for safety risk assessments carried out by EFSA,Zenodo,2018-01-24T15:54:10Z,2025-05-02T13:03:34Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,2,0,0,,,,,,,,16,,repository
10.5281/zenodo.1172008,2017,Text,An Inter-Laboratory Comparison Of Molecular Methods For The Identification Of Nosema Species In Honeybee Samples,Zenodo,2018-02-12T16:35:21Z,2020-09-19T23:26:41Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,3,0,,,,,,,,15,,repository
10.5281/zenodo.1172007,2017,Text,An Inter-Laboratory Comparison Of Molecular Methods For The Identification Of Nosema Species In Honeybee Samples,Zenodo,2018-02-12T16:35:22Z,2020-09-19T23:26:41Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,15,,repository
10.6084/m9.figshare.5960371,2023,Text,Additional file 1 of Antimicrobials in small-scale urban pig farming in a lower middle-income country – arbitrary use and high resistance levels,figshare,2018-03-08T06:26:12Z,2023-06-25T03:13:55Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,34,0,0,,,,,,,,22,,repository
10.6084/m9.figshare.5960371.v1,2018,Text,Additional file 1: of Antimicrobials in small-scale urban pig farming in a lower middle-income country – arbitrary use and high resistance levels,figshare,2018-03-08T06:26:12Z,2023-06-25T03:13:22Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,1,0,0,,,,,,,,22,10.1186/s13756-018-0328-y,repository
10.6084/m9.figshare.c.4025692,2023,Collection,Antimicrobials in small-scale urban pig farming in a lower middle-income country – arbitrary use and high resistance levels,figshare,2018-03-08T06:26:16Z,2023-06-25T03:13:20Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,figshare.ars,figshare Academic Research System,0,1,0,0,,,,,,,,18,,repository
