doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5281/zenodo.4153050,2020,Dataset,Carbon emission from Western Siberian inland waters,Zenodo,2020-10-29T09:20:03Z,2020-12-22T11:39:33Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,cern.zenodo,Zenodo,0,0,0,0,OPEN,46,79,,https://openalex.org/W4393727862,6,0,7,,repository
10.5281/zenodo.4153049,2020,Dataset,Carbon emission from Western Siberian inland waters,Zenodo,2020-10-29T09:20:06Z,2020-12-22T11:39:36Z,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,cern.zenodo,Zenodo,0,0,0,0,OPEN,46,79,,https://openalex.org/W4394050791,0,0,7,,repository
10.5281/zenodo.4563905,2021,Dataset,Dataset for Ob River floodplain,Zenodo,2021-02-26T09:12:17Z,2021-02-26T09:12:18Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,cern.zenodo,Zenodo,0,0,0,0,OPEN,2,12,,https://openalex.org/W3214328670,6,0,5,,repository
10.5281/zenodo.4563904,2021,Dataset,Dataset for Ob River floodplain,Zenodo,2021-02-26T09:12:22Z,2021-02-26T09:12:24Z,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,cern.zenodo,Zenodo,0,0,0,0,OPEN,2,12,,https://openalex.org/W4393602148,0,0,5,,repository
10.5061/dryad.ksn02v77s,2022,Dataset,Survey results for: Public perceptions of cultural ecosystem services provided by beach nourishment and eelgrass restoration in southern Sweden,Dryad,2022-10-09T17:44:06Z,2025-12-07T09:19:46Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,dryad.dryad,DRYAD,1,0,121,12,,17,4,,,,,19,,repository
10.13140/rg.2.2.24093.28648,2023,Text,Fastläggning av PFAS i grundvatten med sorbenter: Kan spridningen av per- och polyfluorerade alkylsubstanser (PFAS) från förorenade områden stoppas med sorbenter?,Swedish Geotechnical Institute,2023-10-03T09:09:31Z,2025-10-21T13:55:49Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,rg.rg,ResearchGate,0,0,0,0,,,,,,,,21,,repository
10.5878/va6j-r422,2024,Dataset,Cu and Zn concentrations in CaCl2-extracts of spiked and contaminated soils,Swedish Geotechnical Institute,2024-01-25T15:18:38Z,2025-09-22T09:42:43Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,1,0,0,0,OPEN,,,,,,,11,10.1002/etc.5326,repository
10.5878/jenv-1j56,2024,Dataset,Cu and Zn concentrations in CaCl2-extracts of spiked and contaminated soils,Swedish Geotechnical Institute,2024-01-25T15:18:39Z,2025-09-22T09:57:25Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,1,0,0,0,OPEN,,,,,,,11,10.1002/etc.5326,repository
10.5878/efnj-xv18,2025,Dataset,"Data to: Determination of polyoxymethylene (POM) water partition coefficients for DDT and its degradation products, with interlaboratory comparison of the passive sampling methodology and bioaccumulation in earthworm (Eisenia fetida)",Swedish Geotechnical Institute,2025-06-30T13:05:22Z,2025-06-30T13:05:23Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,1,0,0,0,OPEN,,,,,,,29,10.1071/en25011,repository
10.5878/qa5t-9m40,2025,Dataset,"Data to: Determination of polyoxymethylene (POM) water partition coefficients for DDT and its degradation products, with interlaboratory comparison of the passive sampling methodology and bioaccumulation in earthworm (Eisenia fetida)",Swedish Geotechnical Institute,2025-06-30T13:05:23Z,2025-06-30T13:05:24Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,1,0,0,0,OPEN,,,,,,,29,10.1071/en25011,repository
10.5878/x1xj-8a46,2025,Dataset,Data to: Evaluation of Standardised (ISO) Leaching Tests for Assessing Leaching and Solid–Solution Partitioning of Perfluoroalkyl Substances (PFAS) in Soils,Swedish Geotechnical Institute,2025-06-30T13:06:05Z,2025-06-30T13:06:05Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,1,0,0,0,OPEN,,,,,,,20,10.3390/environments12060179,repository
10.5878/ephh-d388,2025,Dataset,Data to: Evaluation of Standardised (ISO) Leaching Tests for Assessing Leaching and Solid–Solution Partitioning of Perfluoroalkyl Substances (PFAS) in Soils,Swedish Geotechnical Institute,2025-06-30T13:06:06Z,2025-06-30T13:06:06Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,snd.snd,Swedish National Data Service,1,0,0,0,OPEN,,,,,,,20,10.3390/environments12060179,repository
