doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteResourceType,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireResourceType,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexResourceType,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5061/dryad.q6n3mn0d,2011,Dataset,Data from: Testing the role of phenotypic plasticity for local adaptation: growth and development in time-constrained Rana temporaria populations,Dryad,2011-09-20T17:39:09Z,2026-01-27T10:49:17Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,161,14,,OPEN,6,20,,,,,,19,,repository
10.5061/dryad.bt7vr,2011,Dataset,Data from: Colonization of the Tibetan Plateau by the homoploid hybrid pine Pinus densata,Dryad,2011-11-22T21:50:51Z,2026-01-27T02:40:51Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,219,25,,OPEN,3,4,,,,,,14,,repository
10.5061/dryad.68sd84vh,2012,Dataset,Data from: Population responses to perturbations: the importance of trait-based analysis illustrated through a microcosm experiment,Dryad,2012-01-09T18:00:54Z,2026-01-27T02:08:40Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,279,20,,OPEN,0,3,,,,,,16,,repository
10.5061/dryad.566n8,2012,Dataset,Data from: Demography and speciation history of the homoploid hybrid pine Pinus densata on the Tibetan Plateau,Dryad,2012-06-21T18:17:54Z,2026-01-27T01:47:51Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,774,32,,OPEN,4,2,,,,,,17,,repository
10.5061/dryad.40kq7,2015,Dataset,"Data from: Use of alpha, beta, and gamma diversity measures to characterize seed dispersal by animals",Dryad,2012-07-24T19:08:39Z,2026-01-27T16:52:32Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,0,335,37,,OPEN,2,3,,,,,,16,,repository
10.5061/dryad.sn577,2013,Dataset,"Data from: A second-generation diagnostic single nucleotide polymorphism (SNP)-based assay, optimized to distinguish among eight poplar (Populus L.) species and their early hybrids",Dryad,2012-09-26T14:50:10Z,2026-01-27T05:25:35Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,278,41,,OPEN,4,2,,,,,,23,,repository
10.5061/dryad.b0c8470m,2012,Dataset,Data from: Estimating speciation and extinction rates for phylogenies of higher taxa,Dryad,2012-10-16T18:11:58Z,2026-01-27T16:29:49Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,242,49,,OPEN,3,1,,,,,,12,,repository
10.5061/dryad.d2990,2013,Dataset,"Data from: What can multiple phylogenies say about the latitudinal diversity gradient? A new look at the tropical conservatism, out-of-the-tropics, and diversification rate hypotheses",Dryad,2013-02-04T19:44:44Z,2026-01-27T00:19:03Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,252,30,,OPEN,1,2,,,,,,24,,repository
10.5061/dryad.5c20k,2013,Dataset,Data from: Herbivory prevents positive responses of lowland plants to warmer and more fertile conditions at high altitudes,Dryad,2013-03-06T19:09:21Z,2026-01-27T09:10:02Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,213,25,,OPEN,0,2,,,,,,18,,repository
10.5061/dryad.s631d,2013,Dataset,Data from: Bayesian tests of topology hypotheses with an example from diving beetles,Dryad,2013-04-25T16:21:31Z,2026-01-27T02:16:40Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,dryad.dryad,DRYAD,1,1,329,59,,OPEN,2,8,,,,,,13,,repository
